,ps,02-04-2025,-,-,-,35,02-04-2025 17:34:50.494,April,35 - Temperature set to device,0
H&E,ps,02-04-2025,W6,Tap Water,--,0,02-04-2025 18:23:55.075,April,Water Valve : 6 is Off,478
H&E,ps,02-04-2025,W6,Running TAP Water,R4,0,02-04-2025 18:24:03.503,April,Picked From,478
H&E,ps,02-04-2025,J19,Ethnol,R4,0,02-04-2025 18:24:13.800,April,Placed In,478
H&E,ps,02-04-2025,J23,100 % Alcohol,R3,0,02-04-2025 18:24:52.169,April,Picked From,478
H&E,ps,02-04-2025,J24,XYLENE-1,R3,0,02-04-2025 18:24:58.566,April,Placed In,478
H&E,ps,02-04-2025,J12,XYLENE-1,R5,0,02-04-2025 18:25:06.364,April,Picked From,478
H&E,ps,02-04-2025,J11,XYLENE-2,R5,0,02-04-2025 18:25:12.767,April,Placed In,478
H&E,ps,02-04-2025,J19,Ethnol,R4,0,02-04-2025 18:25:21.718,April,Picked From,478
H&E,ps,02-04-2025,J20,Eosin,R4,0,02-04-2025 18:25:28.139,April,Placed In,478
H&E,ps,02-04-2025,J20,Eosin,R4,0,02-04-2025 18:26:19.080,April,Picked From,478
H&E,ps,02-04-2025,J21,95 % Alcohol,R4,0,02-04-2025 18:26:25.511,April,Placed In,478
H&E,ps,02-04-2025,J24,XYLENE-1,R3,0,02-04-2025 18:27:05.698,April,Picked From,478
H&E,ps,02-04-2025,J25,XYLENE-2,R3,0,02-04-2025 18:27:12.105,April,Placed In,478
H&E,ps,02-04-2025,J11,XYLENE-2,R5,0,02-04-2025 18:27:18.747,April,Picked From,478
H&E,ps,02-04-2025,J10,100 % Alcohol,R5,0,02-04-2025 18:27:25.186,April,Placed In,478
H&E,ps,02-04-2025,J21,95 % Alcohol,R4,0,02-04-2025 18:27:33.095,April,Picked From,478
H&E,ps,02-04-2025,J22,100 % Alcohol,R4,0,02-04-2025 18:27:39.523,April,Placed In,478
H&E,ps,02-04-2025,-,-,-,0,02-04-2025 18:27:45.398,April,Home Reached,478
H&E,ps,02-04-2025,,,R6,0,02-04-2025 18:27:45.468,April,Test Started,478
H&E,ps,02-04-2025,L3,Loading,R6,0,02-04-2025 18:27:57.875,April,Picked From,478
H&E,ps,02-04-2025,J12,XYLENE-1,R6,0,02-04-2025 18:28:09.300,April,Placed In,478
H&E,ps,02-04-2025,J22,100 % Alcohol,R4,0,02-04-2025 18:28:47.936,April,Picked From,478
H&E,ps,02-04-2025,J23,100 % Alcohol,R4,0,02-04-2025 18:28:54.352,April,Placed In,478
H&E,ps,02-04-2025,J25,XYLENE-2,R3,0,02-04-2025 18:29:19.032,April,Picked From,478
H&E,ps,02-04-2025,U3,Unloading,R3,0,02-04-2025 18:29:31.813,April,Placed In,478
H&E,ps,02-04-2025,U3,Unloading,R3,0,02-04-2025 18:29:32.725,April,Test Completed,478
H&E,ps,02-04-2025,J10,100 % Alcohol,R5,0,02-04-2025 18:29:47.169,April,Picked From,478
H&E,ps,02-04-2025,J9,70%Alcohol,R5,0,02-04-2025 18:29:54.585,April,Placed In,478
H&E,ps,02-04-2025,J23,100 % Alcohol,R4,0,02-04-2025 18:30:13.278,April,Picked From,478
H&E,ps,02-04-2025,J24,XYLENE-1,R4,0,02-04-2025 18:30:19.692,April,Placed In,478
H&E,ps,02-04-2025,J12,XYLENE-1,R6,0,02-04-2025 18:30:38.783,April,Picked From,478
H&E,ps,02-04-2025,J11,XYLENE-2,R6,0,02-04-2025 18:30:45.201,April,Placed In,478
H&E,ps,02-04-2025,J9,70%Alcohol,R5,0,02-04-2025 18:32:02.616,April,Picked From,478
H&E,ps,02-04-2025,J8,95% Alcohol,R5,0,02-04-2025 18:32:12.394,April,Placed In,478
H&E,ps,02-04-2025,J24,XYLENE-1,R4,0,02-04-2025 18:32:27.127,April,Picked From,478
H&E,ps,02-04-2025,J25,XYLENE-2,R4,0,02-04-2025 18:32:33.539,April,Placed In,478
H&E,ps,02-04-2025,J11,XYLENE-2,R6,0,02-04-2025 18:32:52.173,April,Picked From,478
H&E,ps,02-04-2025,J10,100 % Alcohol,R6,0,02-04-2025 18:32:58.580,April,Placed In,478
H&E,ps,02-04-2025,-,-,-,0,02-04-2025 18:33:07.475,April,Home Reached,478
H&E,ps,02-04-2025,L1,-,-,0,02-04-2025 18:33:22.388,April,Liquid Level - 3906,478
H&E,ps,02-04-2025,L2,-,-,0,02-04-2025 18:33:25.250,April,Liquid Level - 3896,478
H&E,ps,02-04-2025,L3,-,-,0,02-04-2025 18:33:28.143,April,Liquid Level - 3901,478
H&E,ps,02-04-2025,-,-,-,0,02-04-2025 18:33:39.978,April,Home Reached,478
H&E,ps,02-04-2025,-,-,-,0,02-04-2025 18:33:43.059,April,Home Reached,478
H&E,ps,02-04-2025,W3,Tap Water,--,0,02-04-2025 18:33:55.791,April,Water Valve : 3 is On,478
H&E,ps,02-04-2025,J8,95% Alcohol,R5,0,02-04-2025 18:34:22.359,April,Picked From,478
H&E,ps,02-04-2025,W3,Running TAP Water,R5,0,02-04-2025 18:34:31.168,April,Placed In,478
H&E,ps,02-04-2025,J25,XYLENE-2,R4,0,02-04-2025 18:34:45.461,April,Picked From,478
H&E,ps,02-04-2025,U4,Unloading,R4,0,02-04-2025 18:34:56.748,April,Placed In,478
H&E,ps,02-04-2025,U4,Unloading,R4,0,02-04-2025 18:34:57.663,April,Test Completed,478
H&E,ps,02-04-2025,J10,100 % Alcohol,R6,0,02-04-2025 18:35:10.604,April,Picked From,478
H&E,ps,02-04-2025,J9,70%Alcohol,R6,0,02-04-2025 18:35:18.004,April,Placed In,478
H&E,ps,02-04-2025,W3,Tap Water,--,0,02-04-2025 18:36:31.572,April,Water Valve : 3 is Off,478
H&E,ps,02-04-2025,W3,Running TAP Water,R5,0,02-04-2025 18:36:38.460,April,Picked From,478
H&E,ps,02-04-2025,J7,Hematoxin,R5,0,02-04-2025 18:36:47.782,April,Placed In,478
H&E,ps,02-04-2025,J9,70%Alcohol,R6,0,02-04-2025 18:37:27.945,April,Picked From,478
H&E,ps,02-04-2025,J8,95% Alcohol,R6,0,02-04-2025 18:37:35.737,April,Placed In,478
H&E,ps,02-04-2025,W3,Tap Water,--,0,02-04-2025 18:39:19.255,April,Water Valve : 3 is On,478
H&E,ps,02-04-2025,W1,Tap Water,--,0,02-04-2025 18:39:31.257,April,Water Valve : 1 is On,478
H&E,ps,02-04-2025,J8,95% Alcohol,R6,0,02-04-2025 18:39:45.246,April,Picked From,478
H&E,ps,02-04-2025,W3,Running TAP Water,R6,0,02-04-2025 18:39:54.065,April,Placed In,478
H&E,ps,02-04-2025,J7,Hematoxin,R5,0,02-04-2025 18:40:12.265,April,Picked From,478
H&E,ps,02-04-2025,W1,Running TAP Water,R5,0,02-04-2025 18:40:20.554,April,Placed In,478
H&E,ps,02-04-2025,W1,Tap Water,--,0,02-04-2025 18:41:22.003,April,Water Valve : 1 is Off,478
H&E,ps,02-04-2025,W1,Running TAP Water,R5,0,02-04-2025 18:41:30.383,April,Picked From,478
H&E,ps,02-04-2025,J17,Mild Acid,R5,0,02-04-2025 18:41:37.286,April,Placed In,478
H&E,ps,02-04-2025,W3,Tap Water,--,0,02-04-2025 18:41:54.459,April,Water Valve : 3 is Off,478
H&E,ps,02-04-2025,W3,Running TAP Water,R6,0,02-04-2025 18:42:00.877,April,Picked From,478
H&E,ps,02-04-2025,J7,Hematoxin,R6,0,02-04-2025 18:42:10.184,April,Placed In,478
H&E,ps,02-04-2025,W4,Tap Water,--,0,02-04-2025 18:42:20.696,April,Water Valve : 4 is On,478
H&E,ps,02-04-2025,J17,Mild Acid,R5,0,02-04-2025 18:42:44.233,April,Picked From,478
H&E,ps,02-04-2025,W4,Running TAP Water,R5,0,02-04-2025 18:42:50.644,April,Placed In,478
H&E,ps,02-04-2025,W4,Tap Water,--,0,02-04-2025 18:43:52.041,April,Water Valve : 4 is Off,478
H&E,ps,02-04-2025,W4,Running TAP Water,R5,0,02-04-2025 18:43:57.940,April,Picked From,478
H&E,ps,02-04-2025,J18,Bluing,R5,0,02-04-2025 18:44:04.853,April,Placed In,478
H&E,ps,02-04-2025,W6,Tap Water,--,0,02-04-2025 18:44:48.357,April,Water Valve : 6 is On,478
H&E,ps,02-04-2025,W1,Tap Water,--,0,02-04-2025 18:44:53.646,April,Water Valve : 1 is On,478
H&E,ps,02-04-2025,J18,Bluing,R5,0,02-04-2025 18:45:10.767,April,Picked From,478
H&E,ps,02-04-2025,W6,Running TAP Water,R5,0,02-04-2025 18:45:17.188,April,Placed In,478
H&E,ps,02-04-2025,J7,Hematoxin,R6,0,02-04-2025 18:45:29.669,April,Picked From,478
H&E,ps,02-04-2025,W1,Running TAP Water,R6,0,02-04-2025 18:45:40.955,April,Placed In,478
H&E,ps,02-04-2025,W6,Tap Water,--,0,02-04-2025 18:46:17.725,April,Water Valve : 6 is Off,478
H&E,ps,02-04-2025,W6,Running TAP Water,R5,0,02-04-2025 18:46:26.094,April,Picked From,478
H&E,ps,02-04-2025,J19,Ethnol,R5,0,02-04-2025 18:46:34.365,April,Placed In,478
H&E,ps,02-04-2025,W1,Tap Water,--,0,02-04-2025 18:46:42.348,April,Water Valve : 1 is Off,478
H&E,ps,02-04-2025,W1,Running TAP Water,R6,0,02-04-2025 18:46:50.754,April,Picked From,478
H&E,ps,02-04-2025,W1,Tap Water,--,0,02-04-2025 18:47:00.918,April,Water Valve : 1 is Off,478
H&E,ps,02-04-2025,W2,Tap Water,--,0,02-04-2025 18:47:01.808,April,Water Valve : 2 is Off,478
