,ps,21-04-2025,-,-,-,35,21-04-2025 18:15:43.974,April,35 - Temperature set to device,0
H&E,ps,21-04-2025,L3,Loading,R6,0,21-04-2025 18:51:27.981,April,Picked From,555
H&E,ps,21-04-2025,H2,Heating,R6,0,21-04-2025 18:51:34.618,April,Placed In,555
H&E,ps,21-04-2025,-,-,-,0,21-04-2025 18:51:35.694,April,Heater Door Closed,555
H&E,ps,21-04-2025,-,-,-,39,21-04-2025 18:51:36.437,April,Device temperature ,555
H&E,ps,21-04-2025,J5,70%Alcohol,R3,0,21-04-2025 18:51:46.348,April,Picked From,555
H&E,ps,21-04-2025,J6,95% Alcohol,R3,0,21-04-2025 18:51:52.458,April,Placed In,555
H&E,ps,21-04-2025,W2,Tap Water,--,0,21-04-2025 18:51:53.899,April,Water Valve : 2 is Off,555
H&E,ps,21-04-2025,W2,Running TAP Water,R1,0,21-04-2025 18:51:59.327,April,Picked From,555
H&E,ps,21-04-2025,J18,Bluing,R1,0,21-04-2025 18:52:05.931,April,Placed In,555
H&E,ps,21-04-2025,-,-,-,39,21-04-2025 18:52:09.699,April,Device temperature ,555
H&E,ps,21-04-2025,-,-,-,39,21-04-2025 18:52:24.910,April,Device temperature ,555
H&E,ps,21-04-2025,-,-,-,38,21-04-2025 18:52:40.127,April,Device temperature ,555
H&E,ps,21-04-2025,W6,Tap Water,--,0,21-04-2025 18:52:49.122,April,Water Valve : 6 is On,555
H&E,ps,21-04-2025,W2,Tap Water,--,0,21-04-2025 18:53:06.799,April,Water Valve : 2 is On,555
H&E,ps,21-04-2025,J18,Bluing,R1,0,21-04-2025 18:53:12.502,April,Picked From,555
H&E,ps,21-04-2025,W6,Running TAP Water,R1,0,21-04-2025 18:53:18.639,April,Placed In,555
H&E,ps,21-04-2025,J2,XYLENE-2,R4,0,21-04-2025 18:53:29.127,April,Picked From,555
H&E,ps,21-04-2025,J4,100 % Alcohol,R4,0,21-04-2025 18:53:35.735,April,Placed In,555
H&E,ps,21-04-2025,W1,Tap Water,--,0,21-04-2025 18:53:36.647,April,Water Valve : 1 is On,555
H&E,ps,21-04-2025,J8,Hematoxin,R2,0,21-04-2025 18:53:45.684,April,Picked From,555
H&E,ps,21-04-2025,-,-,-,0,21-04-2025 18:53:50.497,April,Home Reached,555
H&E,ps,21-04-2025,W2,Running TAP Water,R2,0,21-04-2025 18:53:50.809,April,Placed In,555
H&E,ps,21-04-2025,-,-,-,0,21-04-2025 18:54:06.552,April,Home Reached,555
H&E,ps,21-04-2025,J6,95% Alcohol,R3,0,21-04-2025 18:54:16.578,April,Picked From,555
H&E,ps,21-04-2025,-,-,-,0,21-04-2025 18:54:16.823,April,Home Reached,555
H&E,ps,21-04-2025,W1,Running TAP Water,R3,0,21-04-2025 18:54:24.799,April,Placed In,555
H&E,ps,21-04-2025,-,-,-,0,21-04-2025 18:54:33.576,April,Home Reached,555
H&E,ps,21-04-2025,W6,Tap Water,--,0,21-04-2025 18:54:33.858,April,Water Valve : 6 is Off,555
H&E,ps,21-04-2025,W6,Running TAP Water,R1,0,21-04-2025 18:54:42.253,April,Picked From,555
H&E,ps,21-04-2025,-,-,-,0,21-04-2025 18:54:42.471,April,Home Reached,555
H&E,ps,21-04-2025,J19,Ethnol ,R1,0,21-04-2025 18:54:49.924,April,Placed In,555
H&E,ps,21-04-2025,-,-,-,0,21-04-2025 18:54:56.179,April,Home Reached,555
H&E,ps,21-04-2025,W2,Tap Water,--,0,21-04-2025 18:55:01.017,April,Water Valve : 2 is Off,555
H&E,ps,21-04-2025,W2,Running TAP Water,R2,0,21-04-2025 18:55:08.905,April,Picked From,555
H&E,ps,21-04-2025,J9,Mild Acid,R2,0,21-04-2025 18:55:15.527,April,Placed In,555
H&E,ps,21-04-2025,-,-,-,0,21-04-2025 18:55:16.644,April,Heater Door Opened,555
H&E,ps,21-04-2025,H1,Heating,R5,0,21-04-2025 18:55:23.218,April,Picked From,555
H&E,ps,21-04-2025,-,-,-,0,21-04-2025 18:55:23.785,April,Heater Door Closed,555
H&E,ps,21-04-2025,J1,XYLENE-1,R5,0,21-04-2025 18:55:30.884,April,Placed In,555
H&E,ps,21-04-2025,-,-,-,39,21-04-2025 18:55:35.145,April,Device temperature ,555
H&E,ps,21-04-2025,J4,100 % Alcohol,R4,0,21-04-2025 18:55:42.833,April,Picked From,555
H&E,ps,21-04-2025,J5,70%Alcohol,R4,0,21-04-2025 18:55:48.970,April,Placed In,555
H&E,ps,21-04-2025,J19,Ethnol ,R1,0,21-04-2025 18:55:58.052,April,Picked From,555
H&E,ps,21-04-2025,J20,Eosin ,R1,0,21-04-2025 18:56:04.164,April,Placed In,555
H&E,ps,21-04-2025,-,-,-,39,21-04-2025 18:56:08.945,April,Device temperature ,555
H&E,ps,21-04-2025,J9,Mild Acid,R2,0,21-04-2025 18:56:22.106,April,Picked From,555
H&E,ps,21-04-2025,W2,Running TAP Water,R2,0,21-04-2025 18:56:28.721,April,Placed In,555
H&E,ps,21-04-2025,W1,Tap Water,--,0,21-04-2025 18:56:30.010,April,Water Valve : 1 is Off,555
H&E,ps,21-04-2025,W1,Running TAP Water,R3,0,21-04-2025 18:56:35.897,April,Picked From,555
H&E,ps,21-04-2025,-,-,-,0,21-04-2025 18:56:42.508,April,Home Reached,555
H&E,ps,21-04-2025,J8,Hematoxin,R3,0,21-04-2025 18:56:43.024,April,Placed In,555
H&E,ps,21-04-2025,-,-,-,0,21-04-2025 18:56:54.898,April,Home Reached,555
H&E,ps,21-04-2025,J20,Eosin ,R1,0,21-04-2025 18:57:04.254,April,Picked From,555
H&E,ps,21-04-2025,J21,95 % Alcohol,R1,0,21-04-2025 18:57:10.378,April,Placed In,555
H&E,ps,21-04-2025,-,-,-,39,21-04-2025 18:57:14.715,April,Device temperature ,555
H&E,ps,21-04-2025,J1,XYLENE-1,R5,0,21-04-2025 18:57:39.467,April,Picked From,555
H&E,ps,21-04-2025,J2,XYLENE-2,R5,0,21-04-2025 18:57:45.589,April,Placed In,555
H&E,ps,21-04-2025,J5,70%Alcohol,R4,0,21-04-2025 18:57:56.076,April,Picked From,555
H&E,ps,21-04-2025,J6,95% Alcohol,R4,0,21-04-2025 18:58:02.200,April,Placed In,555
H&E,ps,21-04-2025,J21,95 % Alcohol,R1,0,21-04-2025 18:58:16.485,April,Picked From,555
H&E,ps,21-04-2025,J22,100 % Alcohol,R1,0,21-04-2025 18:58:22.593,April,Placed In,555
H&E,ps,21-04-2025,W2,Tap Water,--,0,21-04-2025 18:58:23.353,April,Water Valve : 2 is Off,555
H&E,ps,21-04-2025,W2,Running TAP Water,R2,0,21-04-2025 18:58:31.234,April,Picked From,555
H&E,ps,21-04-2025,J18,Bluing,R2,0,21-04-2025 18:58:37.854,April,Placed In,555
H&E,ps,21-04-2025,-,-,-,39,21-04-2025 18:58:41.441,April,Device temperature ,555
H&E,ps,21-04-2025,-,-,-,39,21-04-2025 18:58:56.649,April,Device temperature ,555
H&E,ps,21-04-2025,-,-,-,39,21-04-2025 18:59:12.863,April,Device temperature ,555
H&E,ps,21-04-2025,W6,Tap Water,--,0,21-04-2025 18:59:21.044,April,Water Valve : 6 is On,555
H&E,ps,21-04-2025,J22,100 % Alcohol,R1,0,21-04-2025 18:59:28.236,April,Picked From,555
H&E,ps,21-04-2025,J23,100 % Alcohol,R1,0,21-04-2025 18:59:34.360,April,Placed In,555
H&E,ps,21-04-2025,W2,Tap Water,--,0,21-04-2025 18:59:35.238,April,Water Valve : 2 is On,555
H&E,ps,21-04-2025,J18,Bluing,R2,0,21-04-2025 18:59:43.445,April,Picked From,555
H&E,ps,21-04-2025,W6,Running TAP Water,R2,0,21-04-2025 18:59:49.544,April,Placed In,555
H&E,ps,21-04-2025,W1,Tap Water,--,0,21-04-2025 18:59:50.393,April,Water Valve : 1 is On,555
H&E,ps,21-04-2025,J8,Hematoxin,R3,0,21-04-2025 19:00:00.144,April,Picked From,555
H&E,ps,21-04-2025,-,-,-,0,21-04-2025 19:00:04.948,April,Home Reached,555
H&E,ps,21-04-2025,W2,Running TAP Water,R3,0,21-04-2025 19:00:05.277,April,Placed In,555
H&E,ps,21-04-2025,-,-,-,0,21-04-2025 19:00:21.023,April,Home Reached,555
H&E,ps,21-04-2025,J2,XYLENE-2,R5,0,21-04-2025 19:00:28.718,April,Picked From,555
H&E,ps,21-04-2025,J4,100 % Alcohol,R5,0,21-04-2025 19:00:35.400,April,Placed In,555
H&E,ps,21-04-2025,J6,95% Alcohol,R4,0,21-04-2025 19:00:43.810,April,Picked From,555
H&E,ps,21-04-2025,-,-,-,0,21-04-2025 19:00:44.044,April,Home Reached,555
H&E,ps,21-04-2025,W1,Running TAP Water,R4,0,21-04-2025 19:00:51.996,April,Placed In,555
H&E,ps,21-04-2025,-,-,-,0,21-04-2025 19:01:00.737,April,Home Reached,555
H&E,ps,21-04-2025,W6,Tap Water,--,0,21-04-2025 19:01:04.748,April,Water Valve : 6 is Off,555
H&E,ps,21-04-2025,W6,Running TAP Water,R2,0,21-04-2025 19:01:13.145,April,Picked From,555
H&E,ps,21-04-2025,-,-,-,0,21-04-2025 19:01:13.394,April,Home Reached,555
H&E,ps,21-04-2025,J19,Ethnol ,R2,0,21-04-2025 19:01:20.863,April,Placed In,555
H&E,ps,21-04-2025,-,-,-,0,21-04-2025 19:01:27.109,April,Home Reached,555
H&E,ps,21-04-2025,W2,Tap Water,--,0,21-04-2025 19:01:30.493,April,Water Valve : 2 is Off,555
H&E,ps,21-04-2025,W2,Running TAP Water,R3,0,21-04-2025 19:01:38.389,April,Picked From,555
H&E,ps,21-04-2025,J9,Mild Acid,R3,0,21-04-2025 19:01:45.007,April,Placed In,555
H&E,ps,21-04-2025,J23,100 % Alcohol,R1,0,21-04-2025 19:01:53.644,April,Picked From,555
H&E,ps,21-04-2025,J24,XYLENE-1,R1,0,21-04-2025 19:01:59.770,April,Placed In,555
H&E,ps,21-04-2025,-,-,-,0,21-04-2025 19:02:01.169,April,Heater Door Opened,555
H&E,ps,21-04-2025,H2,Heating,R6,0,21-04-2025 19:02:08.784,April,Picked From,555
H&E,ps,21-04-2025,-,-,-,0,21-04-2025 19:02:09.328,April,Heater Door Closed,555
H&E,ps,21-04-2025,J1,XYLENE-1,R6,0,21-04-2025 19:02:16.445,April,Placed In,555
H&E,ps,21-04-2025,-,-,-,39,21-04-2025 19:02:20.066,April,Device temperature ,555
H&E,ps,21-04-2025,J19,Ethnol ,R2,0,21-04-2025 19:02:30.457,April,Picked From,555
H&E,ps,21-04-2025,J20,Eosin ,R2,0,21-04-2025 19:02:36.580,April,Placed In,555
H&E,ps,21-04-2025,J4,100 % Alcohol,R5,0,21-04-2025 19:02:47.550,April,Picked From,555
H&E,ps,21-04-2025,J5,70%Alcohol,R5,0,21-04-2025 19:02:53.659,April,Placed In,555
H&E,ps,21-04-2025,W2,Tap Water,--,0,21-04-2025 19:02:54.430,April,Water Valve : 2 is On,555
H&E,ps,21-04-2025,J9,Mild Acid,R3,0,21-04-2025 19:03:00.634,April,Picked From,555
H&E,ps,21-04-2025,W2,Running TAP Water,R3,0,21-04-2025 19:03:07.239,April,Placed In,555
H&E,ps,21-04-2025,J20,Eosin ,R2,0,21-04-2025 19:03:39.189,April,Picked From,555
H&E,ps,21-04-2025,J21,95 % Alcohol,R2,0,21-04-2025 19:03:45.335,April,Placed In,555
H&E,ps,21-04-2025,W1,Tap Water,--,0,21-04-2025 19:03:48.012,April,Water Valve : 1 is Off,555
H&E,ps,21-04-2025,W1,Running TAP Water,R4,0,21-04-2025 19:03:53.909,April,Picked From,555
H&E,ps,21-04-2025,-,-,-,0,21-04-2025 19:03:59.789,April,Home Reached,555
H&E,ps,21-04-2025,J8,Hematoxin,R4,0,21-04-2025 19:04:00.009,April,Placed In,555
H&E,ps,21-04-2025,-,-,-,0,21-04-2025 19:04:12.192,April,Home Reached,555
H&E,ps,21-04-2025,J24,XYLENE-1,R1,0,21-04-2025 19:04:23.360,April,Picked From,555
H&E,ps,21-04-2025,J25,XYLENE-2,R1,0,21-04-2025 19:04:29.476,April,Placed In,555
H&E,ps,21-04-2025,J1,XYLENE-1,R6,0,21-04-2025 19:04:37.585,April,Picked From,555
H&E,ps,21-04-2025,J2,XYLENE-2,R6,0,21-04-2025 19:04:43.709,April,Placed In,555
H&E,ps,21-04-2025,J21,95 % Alcohol,R2,0,21-04-2025 19:04:52.430,April,Picked From,555
H&E,ps,21-04-2025,J22,100 % Alcohol,R2,0,21-04-2025 19:04:58.553,April,Placed In,555
H&E,ps,21-04-2025,J5,70%Alcohol,R5,0,21-04-2025 19:05:05.196,April,Picked From,555
H&E,ps,21-04-2025,J6,95% Alcohol,R5,0,21-04-2025 19:05:11.317,April,Placed In,555
H&E,ps,21-04-2025,-,-,-,39,21-04-2025 19:05:16.056,April,Device temperature ,555
H&E,ps,21-04-2025,-,-,-,39,21-04-2025 19:05:31.265,April,Device temperature ,555
H&E,ps,21-04-2025,-,-,-,39,21-04-2025 19:05:47.477,April,Device temperature ,555
H&E,ps,21-04-2025,J22,100 % Alcohol,R2,0,21-04-2025 19:06:15.648,April,Picked From,555
H&E,ps,21-04-2025,J23,100 % Alcohol,R2,0,21-04-2025 19:06:21.799,April,Placed In,555
H&E,ps,21-04-2025,-,-,-,39,21-04-2025 19:06:26.756,April,Device temperature ,555
H&E,ps,21-04-2025,J25,XYLENE-2,R1,0,21-04-2025 19:06:47.115,April,Picked From,555
H&E,ps,21-04-2025,-,-,-,0,21-04-2025 19:06:47.363,April,Home Reached,555
H&E,ps,21-04-2025,U1,Unloading,R1,0,21-04-2025 19:06:59.308,April,Placed In,555
H&E,ps,21-04-2025,U1,Unloading,R1,0,21-04-2025 19:07:00.002,April,Test Completed,555
H&E,ps,21-04-2025,-,-,-,0,21-04-2025 19:07:11.789,April,Home Reached,555
H&E,ps,21-04-2025,W1,Tap Water,--,0,21-04-2025 19:07:12.303,April,Water Valve : 1 is On,555
H&E,ps,21-04-2025,J2,XYLENE-2,R6,0,21-04-2025 19:07:20.920,April,Picked From,555
H&E,ps,21-04-2025,J4,100 % Alcohol,R6,0,21-04-2025 19:07:27.549,April,Placed In,555
H&E,ps,21-04-2025,J8,Hematoxin,R4,0,21-04-2025 19:07:37.209,April,Picked From,555
H&E,ps,21-04-2025,-,-,-,0,21-04-2025 19:07:37.458,April,Home Reached,555
H&E,ps,21-04-2025,W1,Running TAP Water,R4,0,21-04-2025 19:07:44.923,April,Placed In,555
H&E,ps,21-04-2025,-,-,-,0,21-04-2025 19:07:53.715,April,Home Reached,555
H&E,ps,21-04-2025,J6,95% Alcohol,R5,0,21-04-2025 19:08:04.372,April,Picked From,555
H&E,ps,21-04-2025,-,-,-,0,21-04-2025 19:08:04.614,April,Home Reached,555
H&E,ps,21-04-2025,W1,Running TAP Water,R5,0,21-04-2025 19:08:12.562,April,Placed In,555
H&E,ps,21-04-2025,-,-,-,0,21-04-2025 19:08:21.356,April,Home Reached,555
H&E,ps,21-04-2025,J23,100 % Alcohol,R2,0,21-04-2025 19:08:34.944,April,Picked From,555
H&E,ps,21-04-2025,J24,XYLENE-1,R2,0,21-04-2025 19:08:41.081,April,Placed In,555
H&E,ps,21-04-2025,-,-,-,39,21-04-2025 19:08:45.756,April,Device temperature ,555
H&E,ps,21-04-2025,W1,Tap Water,--,0,21-04-2025 19:08:46.128,April,Water Valve : 1 is Off,555
H&E,ps,21-04-2025,W1,Running TAP Water,R4,0,21-04-2025 19:08:54.528,April,Picked From,555
H&E,ps,21-04-2025,J9,Mild Acid,R4,0,21-04-2025 19:09:00.681,April,Placed In,555
H&E,ps,21-04-2025,-,-,-,40,21-04-2025 19:09:05.138,April,Device temperature ,555
H&E,ps,21-04-2025,-,-,-,39,21-04-2025 19:09:23.353,April,Device temperature ,555
H&E,ps,21-04-2025,W1,Tap Water,--,0,21-04-2025 19:09:43.900,April,Water Valve : 1 is On,555
H&E,ps,21-04-2025,J4,100 % Alcohol,R6,0,21-04-2025 19:10:17.802,April,Picked From,555
H&E,ps,21-04-2025,J5,70%Alcohol,R6,0,21-04-2025 19:10:24.047,April,Placed In,555
H&E,ps,21-04-2025,J9,Mild Acid,R4,0,21-04-2025 19:10:32.345,April,Picked From,555
H&E,ps,21-04-2025,W1,Running TAP Water,R4,0,21-04-2025 19:10:38.470,April,Placed In,555
H&E,ps,21-04-2025,W2,Tap Water,--,0,21-04-2025 19:10:39.274,April,Water Valve : 2 is Off,555
H&E,ps,21-04-2025,W2,Running TAP Water,R3,0,21-04-2025 19:10:45.252,April,Picked From,555
H&E,ps,21-04-2025,J18,Bluing,R3,0,21-04-2025 19:10:51.877,April,Placed In,555
H&E,ps,21-04-2025,W1,Tap Water,--,0,21-04-2025 19:10:52.800,April,Water Valve : 1 is Off,555
H&E,ps,21-04-2025,W1,Running TAP Water,R5,0,21-04-2025 19:10:59.190,April,Picked From,555
H&E,ps,21-04-2025,-,-,-,0,21-04-2025 19:11:04.362,April,Home Reached,555
H&E,ps,21-04-2025,J8,Hematoxin,R5,0,21-04-2025 19:11:04.817,April,Placed In,555
H&E,ps,21-04-2025,-,-,-,0,21-04-2025 19:11:16.768,April,Home Reached,555
H&E,ps,21-04-2025,J24,XYLENE-1,R2,0,21-04-2025 19:11:28.721,April,Picked From,555
H&E,ps,21-04-2025,J25,XYLENE-2,R2,0,21-04-2025 19:11:34.875,April,Placed In,555
H&E,ps,21-04-2025,W6,Tap Water,--,0,21-04-2025 19:11:35.639,April,Water Valve : 6 is On,555
