Command Sent Home Command - #0,5,00111111*79ad  * 08-04-2025 14:21:44.115
CRC-Response  - 32,11,F000,545*8c16 * 08-04-2025 15:18:46.508
Command Sent HEATER DOOR OPEN - #33,8,1,1*2b22  * 08-04-2025 15:18:48.387
CRC-Response  - 33,8,I001*3bb2 * 08-04-2025 15:18:48.601
CRC-Response  - 33,8,F000*ef70 * 08-04-2025 15:18:48.942
Command Sent Rack-4 Picked from H2 - #34,2,2,2688,8700,0,1*7a27  * 08-04-2025 15:18:49.282
CRC-Response  - 34,2,I001,2*c399 * 08-04-2025 15:18:49.501
CRC-Response  - 34,2,F000,2*fcc8 * 08-04-2025 15:18:57.578
RA Picked Rack From H2 * 08-04-2025 15:18:57.587
Command Sent HEATER DOOR CLOSE - #35,8,1,0*eb85  * 08-04-2025 15:18:58.255
CRC-Response  - 35,8,I001*1132 * 08-04-2025 15:18:58.461
CRC-Response  - 35,8,F000*c5f0 * 08-04-2025 15:18:58.819
Command Sent Rack-4 Placed in J1 - #36,3,2,10304,800,0,0*6832  * 08-04-2025 15:18:59.139
CRC-Response  - 36,3,I001,2*c5f9 * 08-04-2025 15:18:59.346
CRC-Response  - 36,3,F000,2*faa8 * 08-04-2025 15:19:05.407
RA Placed Rack in J1 * 08-04-2025 15:19:05.413
Command Sent READ TEMPERATURE - #37,11*fd3b  * 08-04-2025 15:19:09.395
CRC-Response  - 37,11,F000,545*891a * 08-04-2025 15:19:09.611
Command Sent READ TEMPERATURE - #38,11*e938  * 08-04-2025 15:19:24.795
CRC-Response  - 38,11,F000,545*860e * 08-04-2025 15:19:25.11
Command Sent READ TEMPERATURE - #39,11*1539  * 08-04-2025 15:19:40.170
CRC-Response  - 39,11,F000,545*070c * 08-04-2025 15:19:40.379
Command Sent READ TEMPERATURE - #40,11*498f  * 08-04-2025 15:19:55.542
CRC-Response  - 40,11,F000,545*0917 * 08-04-2025 15:19:55.890
Command Sent READ TEMPERATURE - #41,11*b58e  * 08-04-2025 15:20:11.73
CRC-Response  - 41,11,F000,545*8815 * 08-04-2025 15:20:11.282
Command Sent READ TEMPERATURE - #42,11*f18e  * 08-04-2025 15:20:26.456
CRC-Response  - 42,11,F000,545*4b10 * 08-04-2025 15:20:26.739
Command Sent READ TEMPERATURE - #43,11*0d8f  * 08-04-2025 15:20:41.929
CRC-Response  - 43,11,F000,545*ca12 * 08-04-2025 15:20:42.141
Command Sent READ TEMPERATURE - #44,11*798e  * 08-04-2025 15:20:57.300
CRC-Response  - 44,11,F000,-273*1eeb * 08-04-2025 15:20:57.527
Command Sent Home Command - #45,5,00111111*e889  * 08-04-2025 15:21:01.25
CRC-Response  - 45,5,I001,00111111*95fc * 08-04-2025 15:21:01.232
CRC-Response  - 45,5,F000*e8d7 * 08-04-2025 15:21:01.244
Command Sent HEATER DOOR OPEN - #46,8,1,1*cd36  * 08-04-2025 15:21:01.911
CRC-Response  - 46,8,I001*3454 * 08-04-2025 15:21:02.126
CRC-Response  - 46,8,F000*e096 * 08-04-2025 15:21:02.466
Rack - 6Protocol Started * 08-04-2025 15:21:02.641
Command Sent Rack-6 Picked from L3 - #47,2,2,10304,16380,0,0*ffc9  * 08-04-2025 15:21:02.879
CRC-Response  - 47,2,I001,2*b873 * 08-04-2025 15:21:03.98
CRC-Response  - 47,2,F000,2*8722 * 08-04-2025 15:21:09.569
RA Picked Rack From L3 * 08-04-2025 15:21:09.577
Command Sent Rack-6 Placed in H2 - #48,3,2,2688,8700,0,1*0cd0  * 08-04-2025 15:21:09.843
CRC-Response  - 48,3,I001,2*4482 * 08-04-2025 15:21:10.51
CRC-Response  - 48,3,F000,2*7bd3 * 08-04-2025 15:21:16.118
RA Placed Rack in H2 * 08-04-2025 15:21:16.125
Command Sent HEATER DOOR CLOSE - #49,8,1,0*0d08  * 08-04-2025 15:21:17.332
CRC-Response  - 49,8,I001*7414 * 08-04-2025 15:21:17.542
CRC-Response  - 49,8,F000*a0d6 * 08-04-2025 15:21:17.884
Command Sent READ TEMPERATURE - #50,11*89b2  * 08-04-2025 15:21:18.238
CRC-Response  - 50,11,F000,545*c817 * 08-04-2025 15:21:18.452
Command Sent Rack-2 Picked from J6 - #51,2,2,28454,800,0,0*92b0  * 08-04-2025 15:21:24.619
CRC-Response  - 51,2,I001,2*5b97 * 08-04-2025 15:21:24.840
CRC-Response  - 51,2,F000,2*64c6 * 08-04-2025 15:21:32.911
RA Picked Rack From J6 * 08-04-2025 15:21:32.926
Command Sent RA-1 Movement - #52,1,1,64754,800 ,0*ddb3  * 08-04-2025 15:21:33.565
CRC-Response  - 52,1,I001,1*4067 * 08-04-2025 15:21:33.775
CRC-Response  - 52,1,F000,1*7f36 * 08-04-2025 15:21:34.768
RA Moved to assigned Location * 08-04-2025 15:21:34.775
Command Sent Rack-2 Placed in W1 - #53,3,2,42974,800,0,0*0213  * 08-04-2025 15:21:35.964
CRC-Response  - 53,3,I001,2*5df7 * 08-04-2025 15:21:36.181
CRC-Response  - 53,3,F000,2*62a6 * 08-04-2025 15:21:42.997
RA Placed Rack in W1 * 08-04-2025 15:21:43.11
Command Sent RA2 Home Command - #54,5,00111000*3ae7  * 08-04-2025 15:21:43.419
CRC-Response  - 54,5,I001,00111000*696d * 08-04-2025 15:21:43.633
CRC-Response  - 54,5,F000*b41b * 08-04-2025 15:21:44.254
Command Sent WATER VALVE - 2 CONTROL ON - #55,5,00111000*f91a  * 08-04-2025 15:21:45.879
CRC-Response  - 55,5,I001,00111000*f93c * 08-04-2025 15:21:46.97
Command Sent WATER VALVE - 2 CONTROL ON - #56,13,2,1*337b  * 08-04-2025 15:21:46.316
CRC-Response  - 55,5,F000*78da * 08-04-2025 15:21:51.354
CRC-Response  - 56,13,F000*91a8 * 08-04-2025 15:21:51.592
Command Sent Rack-1 Picked from J8 - #57,2,2,35714,800,0,0*d999  * 08-04-2025 15:21:52.891
CRC-Response  - 57,2,I001,2*4477 * 08-04-2025 15:21:53.103
CRC-Response  - 57,2,F000,2*7b26 * 08-04-2025 15:22:02.295
RA Picked Rack From J8 * 08-04-2025 15:22:02.304
Command Sent RA-1 Movement - #58,1,1,64754,800 ,0*0790  * 08-04-2025 15:22:02.864
CRC-Response  - 58,1,I001,1*6047 * 08-04-2025 15:22:03.82
CRC-Response  - 58,1,F000,1*5f16 * 08-04-2025 15:22:03.810
RA Moved to assigned Location * 08-04-2025 15:22:03.814
Command Sent Rack-1 Placed in W2 - #59,3,2,46604,800,0,0*daf8  * 08-04-2025 15:22:04.300
CRC-Response  - 59,3,I001,2*7dd7 * 08-04-2025 15:22:04.508
CRC-Response  - 59,3,F000,2*4286 * 08-04-2025 15:22:10.918
RA Placed Rack in W2 * 08-04-2025 15:22:10.931
Command Sent RA2 Home Command - #60,5,00111000*3613  * 08-04-2025 15:22:11.265
CRC-Response  - 60,5,I001,00111000*ecdf * 08-04-2025 15:22:11.473
CRC-Response  - 60,5,F000*b70e * 08-04-2025 15:22:12.94
Command Sent RA2 Home Command - #61,5,00111000*f5ee  * 08-04-2025 15:22:13.758
CRC-Response  - 61,5,I001,00111000*7c8e * 08-04-2025 15:22:13.970
CRC-Response  - 61,5,F000*7bcf * 08-04-2025 15:22:13.989
Command Sent READ TEMPERATURE - #62,11*31f7  * 08-04-2025 15:22:15.726
CRC-Response  - 62,11,F000,-273*196f * 08-04-2025 15:22:15.937
Command Sent READ TEMPERATURE - #63,11*cdf6  * 08-04-2025 15:22:31.138
CRC-Response  - 63,11,F000,545*0811 * 08-04-2025 15:22:31.349
Command Sent READ TEMPERATURE - #64,11*b9f7  * 08-04-2025 15:22:46.518
CRC-Response  - 64,11,F000,545*4f1a * 08-04-2025 15:22:46.739
Command Sent READ TEMPERATURE - #65,11*45f6  * 08-04-2025 15:23:02.909
CRC-Response  - 65,11,F000,545*ce18 * 08-04-2025 15:23:03.129
Command Sent Rack-3 Picked from J3 - #66,2,2,17564,800,0,0*f1a4  * 08-04-2025 15:23:09.381
CRC-Response  - 66,2,I001,2*c529 * 08-04-2025 15:23:09.591
CRC-Response  - 66,2,F000,2*fa78 * 08-04-2025 15:23:16.764
RA Picked Rack From J3 * 08-04-2025 15:23:16.769
Command Sent Rack-3 Placed in J4 - #67,3,2,21194,800,0,0*56e0  * 08-04-2025 15:23:17.317
CRC-Response  - 67,3,I001,2*ccb9 * 08-04-2025 15:23:17.534
CRC-Response  - 67,3,F000,2*f3e8 * 08-04-2025 15:23:23.137
RA Placed Rack in J4 * 08-04-2025 15:23:23.145
Command Sent READ TEMPERATURE - #68,11*e9f4  * 08-04-2025 15:23:27.393
CRC-Response  - 68,11,F000,545*830b * 08-04-2025 15:23:27.607
Command Sent READ TEMPERATURE - #69,11*15f5  * 08-04-2025 15:23:42.775
CRC-Response  - 69,11,F000,447*03d9 * 08-04-2025 15:23:43.121
Command Sent READ TEMPERATURE - #70,11*49cb  * 08-04-2025 15:23:59.305
CRC-Response  - 70,11,F000,-273*dbad * 08-04-2025 15:23:59.554
Command Sent Rack-4 Picked from J1 - #71,2,2,10304,800,0,0*0827  * 08-04-2025 15:24:06.98
CRC-Response  - 71,2,I001,2*e39c * 08-04-2025 15:24:06.311
CRC-Response  - 71,2,F000,2*dccd * 08-04-2025 15:24:12.719
RA Picked Rack From J1 * 08-04-2025 15:24:12.734
Command Sent Rack-4 Placed in J2 - #72,3,2,13934,800,0,0*0fe7  * 08-04-2025 15:24:13.46
CRC-Response  - 72,3,I001,2*20ad * 08-04-2025 15:24:13.256
CRC-Response  - 72,3,F000,2*1ffc * 08-04-2025 15:24:18.868
RA Placed Rack in J2 * 08-04-2025 15:24:18.872
Command Sent READ TEMPERATURE - #73,11*0dcb  * 08-04-2025 15:24:23.96
CRC-Response  - 73,11,F000,545*c911 * 08-04-2025 15:24:23.310
Command Sent READ TEMPERATURE - #74,11*79ca  * 08-04-2025 15:24:41.462
CRC-Response  - 74,11,F000,545*8e1a * 08-04-2025 15:24:41.675
Command Sent WATER VALVE - 1 CONTROL OFF - #75,13,1,0*8613  * 08-04-2025 15:24:43.401
CRC-Response  - 75,13,F000*ab1d * 08-04-2025 15:24:43.621
Command Sent Rack-2 Picked from W1 - #76,2,1,42974,800,0,0*bdb4  * 08-04-2025 15:24:43.830
CRC-Response  - 76,2,I001,1*386d * 08-04-2025 15:24:44.37
CRC-Response  - 76,2,F000,1*073c * 08-04-2025 15:24:51.671
RA Picked Rack From W1 * 08-04-2025 15:24:51.677
Command Sent RA-2 Movement - #77,1,2,2688,800 ,0*d3e0  * 08-04-2025 15:24:52.281
CRC-Response  - 77,1,I001,2*e93c * 08-04-2025 15:24:52.491
CRC-Response  - 77,1,F000,2*d66d * 08-04-2025 15:24:54.605
RA Moved to assigned Location * 08-04-2025 15:24:54.614
Command Sent Rack-2 Placed in J8 - #78,3,1,35714,800,0,0*bfa5  * 08-04-2025 15:24:55.710
CRC-Response  - 78,3,I001,1*01cd * 08-04-2025 15:24:55.920
CRC-Response  - 78,3,F000,1*3e9c * 08-04-2025 15:25:01.926
RA Placed Rack in J8 * 08-04-2025 15:25:01.935
Command Sent RA1 Home Command - #79,5,00000111*d6a1  * 08-04-2025 15:25:02.678
CRC-Response  - 79,5,I001,00000111*3ff4 * 08-04-2025 15:25:02.885
CRC-Response  - 79,5,F000*4dc3 * 08-04-2025 15:25:03.417
Command Sent RA1 Home Command - #80,5,00000111*c5a9  * 08-04-2025 15:25:05.129
CRC-Response  - 80,5,I001,00000111*7a11 * 08-04-2025 15:25:05.345
CRC-Response  - 80,5,F000*d742 * 08-04-2025 15:25:05.357
Command Sent READ TEMPERATURE - #81,11*b49e  * 08-04-2025 15:25:06.422
CRC-Response  - 81,11,F000,545*8419 * 08-04-2025 15:25:06.630
Command Sent WATER VALVE - 2 CONTROL OFF - #82,13,2,0*90e3  * 08-04-2025 15:25:12.200
CRC-Response  - 82,13,F000*ab0b * 08-04-2025 15:25:12.416
Command Sent Rack-1 Picked from W2 - #83,2,1,46604,800,0,0*8e5c  * 08-04-2025 15:25:12.645
CRC-Response  - 83,2,I001,1*3c4d * 08-04-2025 15:25:12.853
CRC-Response  - 83,2,F000,1*031c * 08-04-2025 15:25:20.222
RA Picked Rack From W2 * 08-04-2025 15:25:20.232
Command Sent Rack-1 Dipped in J9 - #84,17,1,39344,800,1,1,1*8c9e  * 08-04-2025 15:25:21.137
CRC-Response  - 84,17,I001,1*dfd5 * 08-04-2025 15:25:21.347
CRC-Response  - 84,17,F000,1*e084 * 08-04-2025 15:25:27.169
Command Sent Rack-1 Placed in W2 - #85,3,1,46604,800,0,0*9685  * 08-04-2025 15:25:28.99
CRC-Response  - 85,3,I001,1*ef6c * 08-04-2025 15:25:28.316
CRC-Response  - 85,3,F000,1*d03d * 08-04-2025 15:25:34.334
RA Placed Rack in W2 * 08-04-2025 15:25:34.339
Command Sent READ TEMPERATURE - #86,11*c09f  * 08-04-2025 15:25:38.204
CRC-Response  - 86,11,F000,545*c312 * 08-04-2025 15:25:38.417
Command Sent READ TEMPERATURE - #87,11*3c9e  * 08-04-2025 15:25:53.615
CRC-Response  - 87,11,F000,545*4210 * 08-04-2025 15:25:53.840
Command Sent READ TEMPERATURE - #88,11*289d  * 08-04-2025 15:26:10.7
CRC-Response  - 88,11,F000,447*4cd4 * 08-04-2025 15:26:10.257
Command Sent Rack-3 Picked from J4 - #89,2,2,21194,800,0,0*00b2  * 08-04-2025 15:26:24.759
CRC-Response  - 89,2,I001,2*1d2d * 08-04-2025 15:26:24.972
CRC-Response  - 89,2,F000,2*227c * 08-04-2025 15:26:32.241
RA Picked Rack From J4 * 08-04-2025 15:26:32.248
Command Sent Rack-3 Placed in J5 - #90,3,2,24824,800,0,0*a952  * 08-04-2025 15:26:32.707
CRC-Response  - 90,3,I001,2*0238 * 08-04-2025 15:26:32.925
CRC-Response  - 90,3,F000,2*3d69 * 08-04-2025 15:26:38.523
RA Placed Rack in J5 * 08-04-2025 15:26:38.528
Command Sent READ TEMPERATURE - #91,11*74a3  * 08-04-2025 15:26:42.753
CRC-Response  - 91,11,F000,545*4519 * 08-04-2025 15:26:42.968
Command Sent READ TEMPERATURE - #92,11*30a3  * 08-04-2025 15:26:58.137
CRC-Response  - 92,11,F000,545*861c * 08-04-2025 15:26:58.671
Command Sent READ TEMPERATURE - #93,11*cca2  * 08-04-2025 15:27:13.837
CRC-Response  - 93,11,F000,545*071e * 08-04-2025 15:27:14.64
Command Sent READ TEMPERATURE - #94,11*b8a3  * 08-04-2025 15:27:29.231
CRC-Response  - 94,11,F000,545*4015 * 08-04-2025 15:27:29.452
Command Sent READ TEMPERATURE - #95,11*44a2  * 08-04-2025 15:27:44.633
CRC-Response  - 95,11,F000,545*c117 * 08-04-2025 15:27:44.839
Command Sent READ TEMPERATURE - #96,11*00a2  * 08-04-2025 15:28:00.40
CRC-Response  - 96,11,F000,545*0212 * 08-04-2025 15:28:00.257
Command Sent READ TEMPERATURE - #97,11*fca3  * 08-04-2025 15:28:15.430
CRC-Response  - 97,11,F000,-273*1825 * 08-04-2025 15:28:15.649
Command Sent READ TEMPERATURE - #98,11*e8a0  * 08-04-2025 15:28:31.820
CRC-Response  - 98,11,F000,545*8c04 * 08-04-2025 15:28:32.169
Command Sent WATER VALVE - 2 CONTROL OFF - #99,13,2,0*b3af  * 08-04-2025 15:28:35.66
CRC-Response  - 99,13,F000*5e29 * 08-04-2025 15:28:35.281
Command Sent Rack-1 Picked from W2 - #100,2,1,46604,800,0,0*a1e3  * 08-04-2025 15:28:35.466
CRC-Response  - 100,2,I001,1*3648 * 08-04-2025 15:28:35.683
CRC-Response  - 100,2,F000,1*0919 * 08-04-2025 15:28:40.763
RA Picked Rack From W2 * 08-04-2025 15:28:40.770
Command Sent Rack-1 Dipped in J18 - #101,17,1,39344,8590,1,1,1*a521  * 08-04-2025 15:28:41.973
CRC-Response  - 101,17,I001,1*5401 * 08-04-2025 15:28:42.194
CRC-Response  - 101,17,F000,1*6b50 * 08-04-2025 15:28:48.8
Command Sent Rack-1 Placed in W6 - #102,3,1,42974,8590,0,0*aa82  * 08-04-2025 15:28:48.949
CRC-Response  - 102,3,I001,1*3028 * 08-04-2025 15:28:49.160
CRC-Response  - 102,3,F000,1*0f79 * 08-04-2025 15:28:54.780
RA Placed Rack in W6 * 08-04-2025 15:28:54.786
Command Sent READ TEMPERATURE - #103,11*f75e  * 08-04-2025 15:28:59.67
CRC-Response  - 103,11,F000,545*a40d * 08-04-2025 15:28:59.282
Command Sent READ TEMPERATURE - #104,11*835f  * 08-04-2025 15:29:17.461
CRC-Response  - 104,11,F000,545*e306 * 08-04-2025 15:29:17.736
Command Sent Rack-4 Picked from J2 - #105,2,2,13934,800,0,0*7eac  * 08-04-2025 15:29:19.468
CRC-Response  - 105,2,I001,2*2718 * 08-04-2025 15:29:19.683
CRC-Response  - 105,2,F000,2*1849 * 08-04-2025 15:29:26.87
RA Picked Rack From J2 * 08-04-2025 15:29:26.93
Command Sent Rack-4 Placed in J3 - #106,3,2,17564,800,0,0*2567  * 08-04-2025 15:29:26.417
CRC-Response  - 106,3,I001,2*e429 * 08-04-2025 15:29:26.631
CRC-Response  - 106,3,F000,2*db78 * 08-04-2025 15:29:32.233
RA Placed Rack in J3 * 08-04-2025 15:29:32.239
Command Sent READ TEMPERATURE - #107,11*c75f  * 08-04-2025 15:29:36.482
CRC-Response  - 107,11,F000,545*2003 * 08-04-2025 15:29:36.697
Command Sent Rack-3 Picked from J5 - #108,2,2,24824,800,0,0*e227  * 08-04-2025 15:29:39.153
CRC-Response  - 108,2,I001,2*dd89 * 08-04-2025 15:29:39.359
CRC-Response  - 108,2,F000,2*e2d8 * 08-04-2025 15:29:45.368
RA Picked Rack From J5 * 08-04-2025 15:29:45.376
Command Sent Rack-3 Placed in J6 - #109,3,2,28454,800,0,0*14d5  * 08-04-2025 15:29:46.109
CRC-Response  - 109,3,I001,2*d419 * 08-04-2025 15:29:46.324
CRC-Response  - 109,3,F000,2*eb48 * 08-04-2025 15:29:51.927
RA Placed Rack in J6 * 08-04-2025 15:29:51.931
Command Sent READ TEMPERATURE - #110,11*7363  * 08-04-2025 15:29:56.165
CRC-Response  - 110,11,F000,545*a608 * 08-04-2025 15:29:56.374
Command Sent HEATER DOOR OPEN - #111,8,1,1*5893  * 08-04-2025 15:30:02.914
CRC-Response  - 111,8,I001*4f01 * 08-04-2025 15:30:03.125
CRC-Response  - 111,8,F000*9bc3 * 08-04-2025 15:30:03.463
Command Sent Rack-5 Picked from H1 - #112,2,2,2688,1000,0,1*987a  * 08-04-2025 15:30:03.818
CRC-Response  - 112,2,I001,2*01ad * 08-04-2025 15:30:04.40
CRC-Response  - 112,2,F000,2*3efc * 08-04-2025 15:30:12.103
RA Picked Rack From H1 * 08-04-2025 15:30:12.111
Command Sent HEATER DOOR CLOSE - #113,8,1,0*5871  * 08-04-2025 15:30:12.753
CRC-Response  - 113,8,I001*9680 * 08-04-2025 15:30:12.969
CRC-Response  - 113,8,F000*4242 * 08-04-2025 15:30:13.309
Command Sent Rack-5 Placed in J1 - #114,3,2,10304,800,0,0*1028  * 08-04-2025 15:30:13.659
CRC-Response  - 114,3,I001,2*d28c * 08-04-2025 15:30:13.880
CRC-Response  - 114,3,F000,2*eddd * 08-04-2025 15:30:19.919
RA Placed Rack in J1 * 08-04-2025 15:30:19.926
Command Sent READ TEMPERATURE - #115,11*bf63  * 08-04-2025 15:30:23.925
CRC-Response  - 115,11,F000,545*a304 * 08-04-2025 15:30:24.138
Command Sent READ TEMPERATURE - #116,11*fb63  * 08-04-2025 15:30:39.299
CRC-Response  - 116,11,F000,447*61d1 * 08-04-2025 15:30:39.517
Command Sent READ TEMPERATURE - #117,11*0762  * 08-04-2025 15:30:54.680
CRC-Response  - 117,11,F000,545*e103 * 08-04-2025 15:30:54.899
Command Sent READ TEMPERATURE - #118,11*1361  * 08-04-2025 15:31:10.64
CRC-Response  - 118,11,F000,545*ee17 * 08-04-2025 15:31:10.281
Command Sent READ TEMPERATURE - #119,11*ef60  * 08-04-2025 15:31:25.470
CRC-Response  - 119,11,F000,545*6f15 * 08-04-2025 15:31:25.688
Command Sent READ TEMPERATURE - #120,11*7327  * 08-04-2025 15:31:41.866
CRC-Response  - 120,11,F000,447*a4db * 08-04-2025 15:31:42.181
Command Sent WATER VALVE - 6 CONTROL OFF - #121,13,6,0*29b7  * 08-04-2025 15:31:55.445
CRC-Response  - 121,13,F000*64b2 * 08-04-2025 15:31:55.669
Command Sent Rack-1 Picked from W6 - #122,2,1,42974,8590,0,0*b4f0  * 08-04-2025 15:31:55.891
CRC-Response  - 122,2,I001,1*44e2 * 08-04-2025 15:31:56.103
CRC-Response  - 122,2,F000,1*7bb3 * 08-04-2025 15:32:01.195
RA Picked Rack From W6 * 08-04-2025 15:32:01.202
Command Sent RA-2 Movement - #123,1,2,2688,800 ,0*e795  * 08-04-2025 15:32:01.836
CRC-Response  - 123,1,I001,2*95b3 * 08-04-2025 15:32:02.47
CRC-Response  - 123,1,F000,2*aae2 * 08-04-2025 15:32:03.749
RA Moved to assigned Location * 08-04-2025 15:32:03.765
Command Sent Rack-1 Dipped in J19 - #124,17,1,35714,8590,1,1,1*6462  * 08-04-2025 15:32:04.237
CRC-Response  - 124,17,I001,1*5fe9 * 08-04-2025 15:32:04.446
CRC-Response  - 124,17,F000,1*60b8 * 08-04-2025 15:32:10.268
Command Sent Rack-1 Placed in J20 - #125,3,1,32084,8590,0,0*303e  * 08-04-2025 15:32:10.684
CRC-Response  - 125,3,I001,1*5292 * 08-04-2025 15:32:10.901
CRC-Response  - 125,3,F000,1*6dc3 * 08-04-2025 15:32:16.508
RA Placed Rack in J20 * 08-04-2025 15:32:16.514
Command Sent RA1 Home Command - #126,5,00000111*dc21  * 08-04-2025 15:32:17.115
CRC-Response  - 126,5,I001,00000111*39f6 * 08-04-2025 15:32:17.328
CRC-Response  - 126,5,F000*9097 * 08-04-2025 15:32:17.894
Command Sent RA1 Home Command - #127,5,00000111*1fdc  * 08-04-2025 15:32:19.594
CRC-Response  - 127,5,I001,00000111*a9a7 * 08-04-2025 15:32:19.814
CRC-Response  - 127,5,F000*5c56 * 08-04-2025 15:32:19.839
Command Sent READ TEMPERATURE - #128,11*1325  * 08-04-2025 15:32:21.445
CRC-Response  - 128,11,F000,545*ed14 * 08-04-2025 15:32:21.657
Command Sent READ TEMPERATURE - #129,11*ef24  * 08-04-2025 15:32:38.844
CRC-Response  - 129,11,F000,-273*1a4a * 08-04-2025 15:32:39.95
Command Sent Rack-3 Picked from J6 - #130,2,2,28454,800,0,0*2a1f  * 08-04-2025 15:32:52.542
CRC-Response  - 130,2,I001,2*7307 * 08-04-2025 15:32:52.753
CRC-Response  - 130,2,F000,2*4c56 * 08-04-2025 15:33:00.825
RA Picked Rack From J6 * 08-04-2025 15:33:00.831
Command Sent RA-1 Movement - #131,1,1,64754,800 ,0*0bb3  * 08-04-2025 15:33:01.474
CRC-Response  - 131,1,I001,1*a256 * 08-04-2025 15:33:01.690
5 Seconds Timer increments in Jar J8 for R2 as Command Execution under process in other function and timer updated for tmr_r2_incub() * 08-04-2025 15:33:02.500
CRC-Response  - 131,1,F000,1*9d07 * 08-04-2025 15:33:02.681
RA Moved to assigned Location * 08-04-2025 15:33:02.689
Command Sent Rack-3 Placed in W1 - #132,3,2,42974,800,0,0*babc  * 08-04-2025 15:33:02.880
CRC-Response  - 132,3,I001,2*7567 * 08-04-2025 15:33:03.88
5 Seconds Timer increments in Jar J8 for R2 as Command Execution under process in other function and timer updated for tmr_r2_incub() * 08-04-2025 15:33:07.493
CRC-Response  - 132,3,F000,2*4a36 * 08-04-2025 15:33:09.916
RA Placed Rack in W1 * 08-04-2025 15:33:09.923
Command Sent RA2 Home Command - #133,5,00111000*2c83  * 08-04-2025 15:33:10.307
CRC-Response  - 133,5,I001,00111000*e918 * 08-04-2025 15:33:10.519
CRC-Response  - 133,5,F000*3f5a * 08-04-2025 15:33:11.97
11 Seconds Timer increments in Jar J8 for R2 as Command Execution under process in other function and timer updated for tmr_r2_incub() * 08-04-2025 15:33:12.707
Command Sent RA2 Home Command - #134,13,2,1*87fa  * 08-04-2025 15:33:12.720
CRC-Response  - 134,13,F000*f1dc * 08-04-2025 15:33:12.936
Command Sent RA2 Home Command - #135,5,00111000*248b  * 08-04-2025 15:33:13.133
CRC-Response  - 135,5,I001,00111000*48fb * 08-04-2025 15:33:13.353
CRC-Response  - 135,5,F000*15da * 08-04-2025 15:33:13.355
Command Sent Rack-2 Picked from J8 - #136,2,2,35714,800,0,0*6136  * 08-04-2025 15:33:23.887
CRC-Response  - 136,2,I001,2*6ce7 * 08-04-2025 15:33:24.105
CRC-Response  - 136,2,F000,2*53b6 * 08-04-2025 15:33:33.293
RA Picked Rack From J8 * 08-04-2025 15:33:33.304
Command Sent RA-1 Movement - #137,1,1,64754,800 ,0*8253  * 08-04-2025 15:33:33.834
CRC-Response  - 137,1,I001,1*bdb6 * 08-04-2025 15:33:34.51
CRC-Response  - 137,1,F000,1*82e7 * 08-04-2025 15:33:34.781
RA Moved to assigned Location * 08-04-2025 15:33:34.785
Command Sent Rack-2 Placed in W2 - #138,3,2,46604,800,0,0*6257  * 08-04-2025 15:33:35.225
CRC-Response  - 138,3,I001,2*5547 * 08-04-2025 15:33:35.433
CRC-Response  - 138,3,F000,2*6a16 * 08-04-2025 15:33:41.858
RA Placed Rack in W2 * 08-04-2025 15:33:41.865
Command Sent RA2 Home Command - #139,5,00111000*349b  * 08-04-2025 15:33:42.185
CRC-Response  - 139,5,I001,00111000*4b3e * 08-04-2025 15:33:42.404
CRC-Response  - 139,5,F000*40da * 08-04-2025 15:33:43.64
Command Sent RA2 Home Command - #140,5,00111000*6f8c  * 08-04-2025 15:33:44.658
CRC-Response  - 140,5,I001,00111000*6c59 * 08-04-2025 15:33:44.879
CRC-Response  - 140,5,F000*1a3c * 08-04-2025 15:33:44.892
Command Sent READ TEMPERATURE - #141,11*8fae  * 08-04-2025 15:33:46.621
CRC-Response  - 141,11,F000,545*220f * 08-04-2025 15:33:46.833
Command Sent Home Command - #142,5,00111111*38e4  * 08-04-2025 15:33:47.265
CRC-Response  - 142,5,I001,00111111*9c69 * 08-04-2025 15:33:52.511
CRC-Response  - 142,5,F000*c3bd * 08-04-2025 15:33:52.515
Command Sent READ TEMPERATURE - #143,11*37af  * 08-04-2025 15:34:06.41
CRC-Response  - 143,11,F000,545*6008 * 08-04-2025 15:34:06.335
Command Sent READ TEMPERATURE - #144,11*43ae  * 08-04-2025 15:34:23.524
CRC-Response  - 144,11,F000,545*2703 * 08-04-2025 15:34:23.744
Command Sent Rack-4 Picked from J3 - #145,2,2,17564,800,0,0*7583  * 08-04-2025 15:34:32.888
CRC-Response  - 145,2,I001,2*170d * 08-04-2025 15:34:33.96
CRC-Response  - 145,2,F000,2*285c * 08-04-2025 15:34:40.263
RA Picked Rack From J3 * 08-04-2025 15:34:40.268
Command Sent Rack-4 Placed in J4 - #146,3,2,21194,800,0,0*6abe  * 08-04-2025 15:34:40.850
CRC-Response  - 146,3,I001,2*d43c * 08-04-2025 15:34:41.58
CRC-Response  - 146,3,F000,2*eb6d * 08-04-2025 15:34:46.658
RA Placed Rack in J4 * 08-04-2025 15:34:46.664
Command Sent READ TEMPERATURE - #147,11*07ae  * 08-04-2025 15:34:50.885
CRC-Response  - 147,11,F000,-273*d6c3 * 08-04-2025 15:34:51.95
Command Sent READ TEMPERATURE - #148,11*13ad  * 08-04-2025 15:35:09.298
CRC-Response  - 148,11,F000,545*eb12 * 08-04-2025 15:35:09.577
Command Sent Rack-1 Picked from J20 - #149,2,2,32084,8590,0,0*9659  * 08-04-2025 15:35:17.173
