Command Sent SET TEMPERATURE - #0,10,32*870a  * 21-03-2025 14:00:05.209
RA Picked Rack From H1 * 21-03-2025 14:18:37.343
Command Sent HEATER DOOR CLOSE - #137,8,1,0*41b5  * 21-03-2025 14:18:37.661
CRC-Response  - 137,8,I001*0598 * 21-03-2025 14:18:38.108
CRC-Response  - 137,8,F000*d15a * 21-03-2025 14:18:38.118
Command Sent Rack-3 Placed in J1 - #138,3,1,10304,800,0,0*a201  * 21-03-2025 14:18:38.780
CRC-Response  - 138,3,I001,1*5407 * 21-03-2025 14:18:44.944
CRC-Response  - 138,3,F000,1*6b56 * 21-03-2025 14:18:44.947
RA Placed Rack in J1 * 21-03-2025 14:18:44.950
Command Sent HEATER ON - #139,12,1*5867  * 21-03-2025 14:18:45.475
CRC-Response  - 139,12,F000*b085 * 21-03-2025 14:18:45.581
Command Sent HEATER OFF - #140,12,0*c1d0  * 21-03-2025 14:19:03.262
CRC-Response  - 140,12,F000*3a5e * 21-03-2025 14:19:03.381
Command Sent READ TEMPERATURE - #141,11*8fae  * 21-03-2025 14:19:15.565
CRC-Response  - 141,11,F000,447*23df * 21-03-2025 14:19:15.685
Command Sent Rack-2 Picked from J4 - #142,2,1,21194,800 ,0,0*7ad4  * 21-03-2025 14:19:23.302
CRC-Response  - 142,2,I001,1*ccfc * 21-03-2025 14:19:29.842
CRC-Response  - 142,2,F000,1*f3ad * 21-03-2025 14:19:29.845
RA Picked Rack From J4 * 21-03-2025 14:19:29.849
Command Sent Rack-2 Placed in J5 - #143,3,1,24824,800 ,0,0*6a8d  * 21-03-2025 14:19:30.510
CRC-Response  - 143,3,I001,1*c56c * 21-03-2025 14:19:36.222
CRC-Response  - 143,3,F000,1*fa3d * 21-03-2025 14:19:36.228
RA Placed Rack in J5 * 21-03-2025 14:19:36.231
Command Sent HEATER ON - #144,12,1*8510  * 21-03-2025 14:19:36.693
CRC-Response  - 144,12,F000*fa6c * 21-03-2025 14:19:36.810
Command Sent HEATER OFF - #145,12,0*94d0  * 21-03-2025 14:19:53.494
CRC-Response  - 145,12,F000*6a61 * 21-03-2025 14:19:53.699
Command Sent READ TEMPERATURE - #146,11*fbaf  * 21-03-2025 14:20:08.301
CRC-Response  - 146,11,F000,545*6504 * 21-03-2025 14:20:08.419
Command Sent WATER VALVE - 1 CONTROL OFF - #147,13,1,0*62ad  * 21-03-2025 14:20:13.488
CRC-Response  - 147,13,F000*db79 * 21-03-2025 14:20:13.600
Command Sent Rack-1 Picked from W1 - #148,2,1,42974,800 ,0,0*239a  * 21-03-2025 14:20:13.771
CRC-Response  - 148,2,I001,1*ecdc * 21-03-2025 14:20:21.132
CRC-Response  - 148,2,F000,1*d38d * 21-03-2025 14:20:21.134
RA Picked Rack From W1 * 21-03-2025 14:20:21.137
Command Sent Rack-1 Placed in J8 - #149,3,1,35714,800 ,0,0*d10c  * 21-03-2025 14:20:21.467
CRC-Response  - 149,3,I001,1*e54c * 21-03-2025 14:20:27.599
CRC-Response  - 149,3,F000,1*da1d * 21-03-2025 14:20:27.600
RA Placed Rack in J8 * 21-03-2025 14:20:27.603
Command Sent HEATER ON - #150,12,1*c101  * 21-03-2025 14:20:28.190
CRC-Response  - 150,12,F000*ff0f * 21-03-2025 14:20:28.307
Command Sent HEATER OFF - #151,12,0*d0c1  * 21-03-2025 14:20:29.542
CRC-Response  - 151,12,F000*6f02 * 21-03-2025 14:20:29.647
Command Sent Rack-3 Picked from J1 - #152,2,1,10304,800,0,0*8d43  * 21-03-2025 14:20:45.553
CRC-Response  - 152,2,I001,1*30f8 * 21-03-2025 14:20:53.722
CRC-Response  - 152,2,F000,1*0fa9 * 21-03-2025 14:20:53.725
RA Picked Rack From J1 * 21-03-2025 14:20:53.729
Command Sent Rack-3 Placed in J2 - #153,3,1,13934,800 ,0,0*c06c  * 21-03-2025 14:20:54.234
CRC-Response  - 153,3,I001,1*3968 * 21-03-2025 14:20:59.948
CRC-Response  - 153,3,F000,1*0639 * 21-03-2025 14:20:59.953
RA Placed Rack in J2 * 21-03-2025 14:20:59.957
Command Sent HEATER ON - #154,12,1*4500  * 21-03-2025 14:21:00.449
CRC-Response  - 154,12,F000*3f3d * 21-03-2025 14:21:00.569
Command Sent HEATER OFF - #155,12,0*54c0  * 21-03-2025 14:21:16.747
CRC-Response  - 155,12,F000*af30 * 21-03-2025 14:21:16.855
Command Sent READ TEMPERATURE - #156,11*3b92  * 21-03-2025 14:21:31.403
CRC-Response  - 156,11,F000,545*a404 * 21-03-2025 14:21:31.508
Command Sent Rack-2 Picked from J5 - #157,2,1,24824,800 ,0,0*c33d  * 21-03-2025 14:21:36.757
CRC-Response  - 157,2,I001,1*20e8 * 21-03-2025 14:21:43.304
CRC-Response  - 157,2,F000,1*1fb9 * 21-03-2025 14:21:43.307
RA Picked Rack From J5 * 21-03-2025 14:21:43.309
Command Sent Rack-2 Placed in J6 - #158,3,1,28454,800 ,0,0*6923  * 21-03-2025 14:21:44.26
CRC-Response  - 158,3,I001,1*dc19 * 21-03-2025 14:21:49.751
CRC-Response  - 158,3,F000,1*e348 * 21-03-2025 14:21:49.754
RA Placed Rack in J6 * 21-03-2025 14:21:49.759
Command Sent HEATER ON - #159,12,1*5801  * 21-03-2025 14:21:50.217
CRC-Response  - 159,12,F000*af65 * 21-03-2025 14:21:50.330
Command Sent READ TEMPERATURE - #160,11*b3d6  * 21-03-2025 14:22:21.781
CRC-Response  - 160,11,F000,545*610e * 21-03-2025 14:22:21.939
Command Sent READ TEMPERATURE - #161,11*4fd7  * 21-03-2025 14:22:37.124
CRC-Response  - 161,11,F000,545*e00c * 21-03-2025 14:22:37.326
Command Sent READ TEMPERATURE - #162,11*0bd7  * 21-03-2025 14:22:53.498
CRC-Response  - 162,11,F000,545*2309 * 21-03-2025 14:22:53.733
11 Secconds Timer increments in Jar J2 for R3 as Command Execution under process in other function and timer upadted for tmr_r3_incub() * 21-03-2025 14:23:00.378
Command Sent WATER VALVE - 2 CONTROL ON - #163,13,2,1*3184  * 21-03-2025 14:23:10.218
CRC-Response  - 163,13,F000*d1ea * 21-03-2025 14:23:10.344
11 Secconds Timer increments in Jar J2 for R3 as Command Execution under process in other function and timer upadted for tmr_r3_incub() * 21-03-2025 14:23:17.418
11 Secconds Timer increments in Jar J2 for R3 as Command Execution under process in other function and timer upadted for tmr_r3_incub() * 21-03-2025 14:23:22.408
11 Seconds Timer increments in Jar J8 for R1 as Command Execution under process in other function and timer updated for tmr_r1_incub() * 21-03-2025 14:23:28.73
Command Sent WATER VALVE - 1 CONTROL ON - #164,13,1,1*d735  * 21-03-2025 14:23:32.240
CRC-Response  - 164,13,F000*e1cc * 21-03-2025 14:23:32.568
11 Secconds Timer increments in Jar J2 for R3 as Command Execution under process in other function and timer upadted for tmr_r3_incub() * 21-03-2025 14:23:33.435
11 Seconds Timer increments in Jar J8 for R1 as Command Execution under process in other function and timer updated for tmr_r1_incub() * 21-03-2025 14:23:39.66
11 Secconds Timer increments in Jar J2 for R3 as Command Execution under process in other function and timer upadted for tmr_r3_incub() * 21-03-2025 14:23:44.433
User Aborted / Stopped the application forcefully  * 21-03-2025 14:23:46.880
Command Sent HEATER OFF - #165,12,0*54f3  * 21-03-2025 14:23:50.86
CRC-Response  - 165,12,F000*a0c0 * 21-03-2025 14:23:50.313
Command Sent WATER VALVE - 1 CONTROL OFF - #166,13,1,0*ce75  * 21-03-2025 14:24:01.844
CRC-Response  - 166,13,F000*81d5 * 21-03-2025 14:24:01.951
