Command Sent SET TEMPERATURE - #0,10,32*870a  * 07-04-2025 16:26:51.990
CRC-Response  - 125,4,I001*8014 * 07-04-2025 16:46:13.47
CRC-Response  - 125,4,F000,961*7177 * 07-04-2025 16:46:15.333
L2 Value - 961 * 07-04-2025 16:46:15.358
Command Sent Level Sensing For L3 - #126,4,10304,16380,0,0*4020  * 07-04-2025 16:46:15.744
CRC-Response  - 126,4,I001*9554 * 07-04-2025 16:46:15.960
CRC-Response  - 126,4,F000,966*b732 * 07-04-2025 16:46:18.247
L3 Value - 966 * 07-04-2025 16:46:18.269
Command Sent Home Command - #127,5,01111111*32f1  * 07-04-2025 16:46:18.643
CRC-Response  - 127,5,I001,01111111*848a * 07-04-2025 16:46:18.864
CRC-Response  - 127,5,F000*5c56 * 07-04-2025 16:46:18.881
Command Sent Home Command - #128,5,01111111*26e5  * 07-04-2025 16:46:20.565
CRC-Response  - 128,5,I001,01111111*77bf * 07-04-2025 16:46:20.785
CRC-Response  - 128,5,F000*1c16 * 07-04-2025 16:46:20.809
Rack - 4Protocol Started * 07-04-2025 16:46:22.43
Command Sent Rack-4 Picked from L1 - #129,2,2,17564,16380,0,0*8b4c  * 07-04-2025 16:46:22.245
CRC-Response  - 129,2,I001,2*a0d3 * 07-04-2025 16:46:22.455
CRC-Response  - 129,2,F000,2*9f82 * 07-04-2025 16:46:29.626
RA Picked Rack From L1 * 07-04-2025 16:46:29.633
Command Sent Rack-4 Placed in H1 - #130,3,2,2688,1000,0,1*522b  * 07-04-2025 16:46:30.250
CRC-Response  - 130,3,I001,2*bfc6 * 07-04-2025 16:46:30.470
CRC-Response  - 130,3,F000,2*8097 * 07-04-2025 16:46:37.332
RA Placed Rack in H1 * 07-04-2025 16:46:37.339
Command Sent HEATER DOOR CLOSE - #131,8,1,0*41d3  * 07-04-2025 16:46:38.224
CRC-Response  - 131,8,I001*2f18 * 07-04-2025 16:46:38.486
CRC-Response  - 131,8,F000*fbda * 07-04-2025 16:46:38.825
Command Sent READ TEMPERATURE - #132,11*0b1b  * 07-04-2025 16:46:39.150
CRC-Response  - 132,11,F000,545*260c * 07-04-2025 16:46:39.366
Command Sent WATER VALVE - 1 CONTROL OFF - #133,13,1,0*a18a  * 07-04-2025 16:46:48.978
CRC-Response  - 133,13,F000*c1fa * 07-04-2025 16:46:49.192
Command Sent Rack-1 Picked from W1 - #134,2,1,42974,800,0,0*a326  * 07-04-2025 16:46:49.372
CRC-Response  - 134,2,I001,1*a706 * 07-04-2025 16:46:49.593
CRC-Response  - 134,2,F000,1*9857 * 07-04-2025 16:46:57.357
RA Picked Rack From W1 * 07-04-2025 16:46:57.361
Command Sent RA-2 Movement - #135,1,2,2688,800 ,0*ba27  * 07-04-2025 16:46:57.806
CRC-Response  - 135,1,I001,2*7657 * 07-04-2025 16:46:58.21
CRC-Response  - 135,1,F000,2*4906 * 07-04-2025 16:46:58.827
RA Moved to assigned Location * 07-04-2025 16:46:58.833
Command Sent Rack-1 Placed in J8 - #136,3,1,35714,800,0,0*f024  * 07-04-2025 16:46:59.204
CRC-Response  - 136,3,I001,1*a166 * 07-04-2025 16:46:59.416
CRC-Response  - 136,3,F000,1*9e37 * 07-04-2025 16:47:05.432
RA Placed Rack in J8 * 07-04-2025 16:47:05.439
Command Sent RA-1 Movement - #137,1,1,64754,800 ,0*8253  * 07-04-2025 16:47:05.714
CRC-Response  - 137,1,I001,1*bdb6 * 07-04-2025 16:47:05.922
CRC-Response  - 137,1,F000,1*82e7 * 07-04-2025 16:47:10.17
RA Moved to assigned Location * 07-04-2025 16:47:10.24
Command Sent Rack-3 Picked from J1 - #138,2,2,10304,800,0,0*3313  * 07-04-2025 16:47:14.784
CRC-Response  - 138,2,I001,2*9986 * 07-04-2025 16:47:14.997
CRC-Response  - 138,2,F000,2*a6d7 * 07-04-2025 16:47:21.52
RA Picked Rack From J1 * 07-04-2025 16:47:21.58
Command Sent Rack-3 Placed in J2 - #139,3,2,13934,800,0,0*8caa  * 07-04-2025 16:47:21.752
CRC-Response  - 139,3,I001,2*9016 * 07-04-2025 16:47:21.967
CRC-Response  - 139,3,F000,2*af47 * 07-04-2025 16:47:27.561
RA Placed Rack in J2 * 07-04-2025 16:47:27.568
Command Sent READ TEMPERATURE - #140,11*73af  * 07-04-2025 16:47:32.284
CRC-Response  - 140,11,F000,545*a30d * 07-04-2025 16:47:32.496
Command Sent READ TEMPERATURE - #141,11*8fae  * 07-04-2025 16:47:50.693
CRC-Response  - 141,11,F000,545*220f * 07-04-2025 16:47:50.971
Command Sent Rack-2 Picked from J5 - #142,2,2,24824,800,0,0*bf4d  * 07-04-2025 16:47:58.163
CRC-Response  - 142,2,I001,2*cdbc * 07-04-2025 16:47:58.378
CRC-Response  - 142,2,F000,2*f2ed * 07-04-2025 16:48:04.800
RA Picked Rack From J5 * 07-04-2025 16:48:04.807
Command Sent Rack-2 Placed in J6 - #143,3,2,28454,800,0,0*49bf  * 07-04-2025 16:48:05.98
CRC-Response  - 143,3,I001,2*c42c * 07-04-2025 16:48:05.313
CRC-Response  - 143,3,F000,2*fb7d * 07-04-2025 16:48:10.926
RA Placed Rack in J6 * 07-04-2025 16:48:10.934
Command Sent READ TEMPERATURE - #144,11*43ae  * 07-04-2025 16:48:15.240
CRC-Response  - 144,11,F000,545*2703 * 07-04-2025 16:48:15.451
Command Sent READ TEMPERATURE - #145,11*bfaf  * 07-04-2025 16:48:30.612
CRC-Response  - 145,11,F000,545*a601 * 07-04-2025 16:48:30.860
Command Sent READ TEMPERATURE - #146,11*fbaf  * 07-04-2025 16:48:46.28
CRC-Response  - 146,11,F000,-273*17c3 * 07-04-2025 16:48:46.247
Command Sent READ TEMPERATURE - #147,11*07ae  * 07-04-2025 16:49:01.426
CRC-Response  - 147,11,F000,545*e406 * 07-04-2025 16:49:01.642
Command Sent READ TEMPERATURE - #148,11*13ad  * 07-04-2025 16:49:17.823
CRC-Response  - 148,11,F000,545*eb12 * 07-04-2025 16:49:18.38
Command Sent Rack-3 Picked from J2 - #149,2,2,13934,800,0,0*ab4e  * 07-04-2025 16:49:28.578
CRC-Response  - 149,2,I001,2*28cd * 07-04-2025 16:49:28.785
CRC-Response  - 149,2,F000,2*179c * 07-04-2025 16:49:35.623
RA Picked Rack From J2 * 07-04-2025 16:49:35.628
Command Sent Rack-3 Placed in J4 - #150,3,2,21194,800,0,0*330b  * 07-04-2025 16:49:36.63
CRC-Response  - 150,3,I001,2*37d8 * 07-04-2025 16:49:36.270
CRC-Response  - 150,3,F000,2*0889 * 07-04-2025 16:49:42.285
RA Placed Rack in J4 * 07-04-2025 16:49:42.292
Command Sent READ TEMPERATURE - #151,11*4f93  * 07-04-2025 16:49:46.629
CRC-Response  - 151,11,F000,545*e30f * 07-04-2025 16:49:46.841
Command Sent WATER VALVE - 2 CONTROL ON - #152,13,2,1*0d51  * 07-04-2025 16:49:49.131
CRC-Response  - 152,13,F000*4e17 * 07-04-2025 16:49:49.337
Command Sent WATER VALVE - 1 CONTROL ON - #153,13,1,1*c160  * 07-04-2025 16:49:54.836
CRC-Response  - 153,13,F000*de1a * 07-04-2025 16:49:55.52
Command Sent Rack-1 Picked from J8 - #154,2,2,35714,800,0,0*bfc7  * 07-04-2025 16:50:06.278
CRC-Response  - 154,2,I001,2*2e58 * 07-04-2025 16:50:06.503
5 Seconds Timer increments in Jar J6 for R2 as Command Execution under process in other function and timer updated for tmr_r2_incub() * 07-04-2025 16:50:11.696
CRC-Response  - 154,2,F000,2*1109 * 07-04-2025 16:50:13.312
RA Picked Rack From J8 * 07-04-2025 16:50:13.319
Command Sent RA-1 Movement - #155,1,1,64754,800 ,0*b27a  * 07-04-2025 16:50:13.777
CRC-Response  - 155,1,I001,1*ff09 * 07-04-2025 16:50:13.997
CRC-Response  - 155,1,F000,1*c058 * 07-04-2025 16:50:14.731
RA Moved to assigned Location * 07-04-2025 16:50:14.739
Command Sent Rack-1 Placed in W2 - #156,3,2,46604,800,0,0*edb5  * 07-04-2025 16:50:15.189
CRC-Response  - 156,3,I001,2*2838 * 07-04-2025 16:50:15.398
5 Seconds Timer increments in Jar J6 for R2 as Command Execution under process in other function and timer updated for tmr_r2_incub() * 07-04-2025 16:50:16.700
5 Seconds Timer increments in Jar J6 for R2 as Command Execution under process in other function and timer updated for tmr_r2_incub() * 07-04-2025 16:50:21.709
CRC-Response  - 156,3,F000,2*1769 * 07-04-2025 16:50:21.824
RA Placed Rack in W2 * 07-04-2025 16:50:21.831
Command Sent RA-2 Movement - #157,1,2,2688,800 ,0*5366  * 07-04-2025 16:50:22.123
CRC-Response  - 157,1,I001,2*34e8 * 07-04-2025 16:50:22.335
5 Seconds Timer increments in Jar J6 for R2 as Command Execution under process in other function and timer updated for tmr_r2_incub() * 07-04-2025 16:50:26.726
CRC-Response  - 157,1,F000,2*0bb9 * 07-04-2025 16:50:28.90
RA Moved to assigned Location * 07-04-2025 16:50:28.97
Command Sent Rack-2 Picked from J6 - #158,2,2,28454,800,0,0*2d75  * 07-04-2025 16:50:31.961
CRC-Response  - 158,2,I001,2*1198 * 07-04-2025 16:50:32.177
CRC-Response  - 158,2,F000,2*2ec9 * 07-04-2025 16:50:40.256
RA Picked Rack From J6 * 07-04-2025 16:50:40.265
Command Sent RA-1 Movement - #159,1,1,64754,800 ,0*e1b9  * 07-04-2025 16:50:40.967
CRC-Response  - 159,1,I001,1*c0c9 * 07-04-2025 16:50:41.177
CRC-Response  - 159,1,F000,1*ff98 * 07-04-2025 16:50:41.912
RA Moved to assigned Location * 07-04-2025 16:50:41.917
Command Sent Rack-2 Placed in W1 - #160,3,2,42974,800,0,0*5709  * 07-04-2025 16:50:42.354
CRC-Response  - 160,3,I001,2*73d7 * 07-04-2025 16:50:42.563
CRC-Response  - 160,3,F000,2*4c86 * 07-04-2025 16:50:49.396
RA Placed Rack in W1 * 07-04-2025 16:50:49.402
Command Sent RA-2 Movement - #161,1,2,2688,800 ,0*b675  * 07-04-2025 16:50:49.800
CRC-Response  - 161,1,I001,2*6f07 * 07-04-2025 16:50:50.15
CRC-Response  - 161,1,F000,2*5056 * 07-04-2025 16:50:55.359
RA Moved to assigned Location * 07-04-2025 16:50:55.365
Command Sent READ TEMPERATURE - #162,11*0bd7  * 07-04-2025 16:50:57.380
CRC-Response  - 162,11,F000,545*2309 * 07-04-2025 16:50:57.590
Command Sent READ TEMPERATURE - #163,11*f7d6  * 07-04-2025 16:51:15.792
CRC-Response  - 163,11,F000,545*a20b * 07-04-2025 16:51:16.44
Command Sent WATER VALVE - 2 CONTROL OFF - #164,13,2,0*1704  * 07-04-2025 16:51:22.291
CRC-Response  - 164,13,F000*e1cc * 07-04-2025 16:51:22.504
Command Sent Rack-1 Picked from W2 - #165,2,1,46604,800,0,0*0ba7  * 07-04-2025 16:51:22.694
CRC-Response  - 165,2,I001,1*ae46 * 07-04-2025 16:51:22.903
CRC-Response  - 165,2,F000,1*9117 * 07-04-2025 16:51:30.133
RA Picked Rack From W2 * 07-04-2025 16:51:30.140
Command Sent Rack-1 Placed in J9 - #166,3,1,39344,800,0,0*95fd  * 07-04-2025 16:51:30.621
CRC-Response  - 166,3,I001,1*6d77 * 07-04-2025 16:51:30.830
CRC-Response  - 166,3,F000,1*5226 * 07-04-2025 16:51:36.854
RA Placed Rack in J9 * 07-04-2025 16:51:36.863
Command Sent HEATER DOOR OPEN - #167,8,1,1*beb4  * 07-04-2025 16:51:38.618
CRC-Response  - 167,8,I001*55a7 * 07-04-2025 16:51:38.836
CRC-Response  - 167,8,F000*8165 * 07-04-2025 16:51:39.173
Command Sent Rack-4 Picked from H1 - #168,2,2,2688,1000,0,1*f654  * 07-04-2025 16:51:39.516
CRC-Response  - 168,2,I001,2*5597 * 07-04-2025 16:51:39.731
5 Secconds Timer increments in Jar J4 for R3 as Command Execution under process in other function and timer upadted for tmr_r3_incub() * 07-04-2025 16:51:43.164
CRC-Response  - 168,2,F000,2*6ac6 * 07-04-2025 16:51:44.892
RA Picked Rack From H1 * 07-04-2025 16:51:44.898
Command Sent HEATER DOOR CLOSE - #169,8,1,0*be9a  * 07-04-2025 16:51:45.466
CRC-Response  - 169,8,I001*d926 * 07-04-2025 16:51:45.678
CRC-Response  - 169,8,F000*0de4 * 07-04-2025 16:51:46.19
Command Sent Rack-4 Placed in J1 - #170,3,2,10304,800,0,0*4651  * 07-04-2025 16:51:46.363
CRC-Response  - 170,3,I001,2*8fd3 * 07-04-2025 16:51:46.577
5 Secconds Timer increments in Jar J4 for R3 as Command Execution under process in other function and timer upadted for tmr_r3_incub() * 07-04-2025 16:51:48.162
CRC-Response  - 170,3,F000,2*b082 * 07-04-2025 16:51:52.619
RA Placed Rack in J1 * 07-04-2025 16:51:52.630
Command Sent Rack-3 Picked from J4 - #171,2,2,21194,800,0,0*bd1e  * 07-04-2025 16:51:53.839
CRC-Response  - 171,2,I001,2*8643 * 07-04-2025 16:51:54.54
CRC-Response  - 171,2,F000,2*b912 * 07-04-2025 16:52:00.467
RA Picked Rack From J4 * 07-04-2025 16:52:00.478
Command Sent Rack-3 Placed in J5 - #172,3,2,24824,800,0,0*1c58  * 07-04-2025 16:52:00.810
CRC-Response  - 172,3,I001,2*4572 * 07-04-2025 16:52:01.27
CRC-Response  - 172,3,F000,2*7a23 * 07-04-2025 16:52:06.635
RA Placed Rack in J5 * 07-04-2025 16:52:06.641
Command Sent Home Command - #173,5,00111111*381c  * 07-04-2025 16:52:08.34
CRC-Response  - 173,5,I001,00111111*48c8 * 07-04-2025 16:52:08.250
CRC-Response  - 173,5,F000*ff68 * 07-04-2025 16:52:08.273
Command Sent HEATER DOOR OPEN - #174,8,1,1*7246  * 07-04-2025 16:52:08.913
CRC-Response  - 174,8,I001*d0ea * 07-04-2025 16:52:09.130
CRC-Response  - 174,8,F000*0428 * 07-04-2025 16:52:09.472
Rack - 5Protocol Started * 07-04-2025 16:52:09.634
Command Sent Rack-5 Picked from L2 - #175,2,2,13934,16380,0,0*7c0d  * 07-04-2025 16:52:09.828
CRC-Response  - 175,2,I001,2*5302 * 07-04-2025 16:52:10.38
CRC-Response  - 175,2,F000,2*6c53 * 07-04-2025 16:52:16.819
RA Picked Rack From L2 * 07-04-2025 16:52:16.825
Command Sent Rack-5 Placed in H1 - #176,3,2,2688,1000,0,1*5e52  * 07-04-2025 16:52:17.337
CRC-Response  - 176,3,I001,2*9033 * 07-04-2025 16:52:17.559
CRC-Response  - 176,3,F000,2*af62 * 07-04-2025 16:52:24.18
RA Placed Rack in H1 * 07-04-2025 16:52:24.24
Command Sent HEATER DOOR CLOSE - #177,8,1,0*b2b4  * 07-04-2025 16:52:24.806
CRC-Response  - 177,8,I001*c5aa * 07-04-2025 16:52:25.22
CRC-Response  - 177,8,F000*1168 * 07-04-2025 16:52:25.361
Command Sent READ TEMPERATURE - #178,11*13e9  * 07-04-2025 16:52:25.685
CRC-Response  - 178,11,F000,545*e811 * 07-04-2025 16:52:25.901
Command Sent WATER VALVE - 2 CONTROL ON - #179,13,2,1*de09  * 07-04-2025 16:52:30.248
CRC-Response  - 179,13,F000*b4c5 * 07-04-2025 16:52:30.459
Command Sent Rack-1 Picked from J9 - #180,2,1,39344,800,0,0*a24d  * 07-04-2025 16:52:37.274
CRC-Response  - 180,2,I001,1*5662 * 07-04-2025 16:52:37.493
CRC-Response  - 180,2,F000,1*6933 * 07-04-2025 16:52:45.670
RA Picked Rack From J9 * 07-04-2025 16:52:45.675
Command Sent Rack-1 Placed in W2 - #181,3,1,46604,800,0,0*846e  * 07-04-2025 16:52:46.266
CRC-Response  - 181,3,I001,1*5ff2 * 07-04-2025 16:52:46.484
5 Seconds Timer increments in Jar W1 for R2 as Command Execution under process in other function and timer updated for tmr_r2_incub() * 07-04-2025 16:52:49.960
CRC-Response  - 181,3,F000,1*60a3 * 07-04-2025 16:52:52.500
RA Placed Rack in W2 * 07-04-2025 16:52:52.506
Command Sent WATER VALVE - 1 CONTROL OFF - #182,13,1,0*5d38  * 07-04-2025 16:52:55.131
CRC-Response  - 182,13,F000*b486 * 07-04-2025 16:52:55.343
Command Sent Rack-2 Picked from W1 - #183,2,1,42974,800,0,0*ad36  * 07-04-2025 16:52:55.544
CRC-Response  - 183,2,I001,1*5992 * 07-04-2025 16:52:55.761
CRC-Response  - 183,2,F000,1*66c3 * 07-04-2025 16:53:01.370
RA Picked Rack From W1 * 07-04-2025 16:53:01.377
Command Sent RA-2 Movement - #184,1,2,2688,800 ,0*0c04  * 07-04-2025 16:53:02.7
CRC-Response  - 184,1,I001,2*9723 * 07-04-2025 16:53:02.219
CRC-Response  - 184,1,F000,2*a872 * 07-04-2025 16:53:03.37
RA Moved to assigned Location * 07-04-2025 16:53:03.44
Command Sent Rack-2 Placed in J8 - #185,3,1,35714,800,0,0*cec5  * 07-04-2025 16:53:03.405
CRC-Response  - 185,3,I001,1*8ab3 * 07-04-2025 16:53:03.619
CRC-Response  - 185,3,F000,1*b5e2 * 07-04-2025 16:53:09.646
RA Placed Rack in J8 * 07-04-2025 16:53:09.659
Command Sent RA-1 Movement - #186,1,1,64754,800 ,0*5ba4  * 07-04-2025 16:53:10.390
CRC-Response  - 186,1,I001,1*5cc2 * 07-04-2025 16:53:10.601
CRC-Response  - 186,1,F000,1*6393 * 07-04-2025 16:53:14.701
RA Moved to assigned Location * 07-04-2025 16:53:14.710
Command Sent READ TEMPERATURE - #187,11*06be  * 07-04-2025 16:53:18.517
CRC-Response  - 187,11,F000,545*e80a * 07-04-2025 16:53:18.731
Command Sent READ TEMPERATURE - #188,11*12bd  * 07-04-2025 16:53:33.890
CRC-Response  - 188,11,F000,447*e6ce * 07-04-2025 16:53:34.104
Command Sent READ TEMPERATURE - #189,11*eebc  * 07-04-2025 16:53:50.273
CRC-Response  - 189,11,F000,545*661c * 07-04-2025 16:53:50.516
18 Seconds Timer increments in Jar W2 for R1 as Command Execution under process in other function and timer updated for tmr_r1_incub() * 07-04-2025 16:53:52.712
Command Sent Rack-4 Picked from J1 - #190,2,2,10304,800,0,0*f969  * 07-04-2025 16:53:53.532
CRC-Response  - 190,2,I001,2*ab26 * 07-04-2025 16:53:53.746
CRC-Response  - 190,2,F000,2*9477 * 07-04-2025 16:53:59.809
RA Picked Rack From J1 * 07-04-2025 16:53:59.816
Command Sent Rack-4 Placed in J2 - #191,3,2,13934,800,0,0*46d0  * 07-04-2025 16:54:00.512
CRC-Response  - 191,3,I001,2*a2b6 * 07-04-2025 16:54:00.732
CRC-Response  - 191,3,F000,2*9de7 * 07-04-2025 16:54:06.336
RA Placed Rack in J2 * 07-04-2025 16:54:06.343
Command Sent Rack-3 Picked from J5 - #192,2,2,24824,800,0,0*a360  * 07-04-2025 16:54:07.591
CRC-Response  - 192,2,I001,2*6187 * 07-04-2025 16:54:07.807
5 Seconds Timer increments in Jar W2 for R1 as Command Execution under process in other function and timer updated for tmr_r1_incub() * 07-04-2025 16:54:10.776
CRC-Response  - 192,2,F000,2*5ed6 * 07-04-2025 16:54:14.223
RA Picked Rack From J5 * 07-04-2025 16:54:14.228
Command Sent Rack-3 Placed in J6 - #193,3,2,28454,800,0,0*5592  * 07-04-2025 16:54:14.550
CRC-Response  - 193,3,I001,2*6817 * 07-04-2025 16:54:14.767
5 Seconds Timer increments in Jar W2 for R1 as Command Execution under process in other function and timer updated for tmr_r1_incub() * 07-04-2025 16:54:15.765
CRC-Response  - 193,3,F000,2*5746 * 07-04-2025 16:54:20.376
RA Placed Rack in J6 * 07-04-2025 16:54:20.382
11 Seconds Timer increments in Jar W2 for R1 as Command Execution under process in other function and timer updated for tmr_r1_incub() * 07-04-2025 16:54:20.765
Command Sent WATER VALVE - 2 CONTROL OFF - #194,13,2,0*e745  * 07-04-2025 16:54:31.962
CRC-Response  - 194,13,F000*d1fc * 07-04-2025 16:54:32.180
Command Sent Rack-1 Picked from W2 - #195,2,1,46604,800,0,0*f5f3  * 07-04-2025 16:54:32.359
CRC-Response  - 195,2,I001,1*ba76 * 07-04-2025 16:54:32.582
CRC-Response  - 195,2,F000,1*8527 * 07-04-2025 16:54:39.813
RA Picked Rack From W2 * 07-04-2025 16:54:39.817
Command Sent Rack-1 Placed in J18 - #196,3,1,39344,8590,0,0*a7e1  * 07-04-2025 16:54:40.329
CRC-Response  - 196,3,I001,1*7947 * 07-04-2025 16:54:40.544
CRC-Response  - 196,3,F000,1*4616 * 07-04-2025 16:54:46.573
RA Placed Rack in J18 * 07-04-2025 16:54:46.578
Command Sent READ TEMPERATURE - #197,11*c683  * 07-04-2025 16:54:50.994
CRC-Response  - 197,11,F000,-273*d30e * 07-04-2025 16:54:51.205
Command Sent READ TEMPERATURE - #198,11*d280  * 07-04-2025 16:55:06.388
CRC-Response  - 198,11,F000,545*261e * 07-04-2025 16:55:06.672
Command Sent READ TEMPERATURE - #199,11*2e81  * 07-04-2025 16:55:21.843
CRC-Response  - 199,11,F000,447*a6cc * 07-04-2025 16:55:22.129
Command Sent WATER VALVE - 6 CONTROL ON - #200,13,6,1*4a5e  * 07-04-2025 16:55:29.927
CRC-Response  - 200,13,F000*7a11 * 07-04-2025 16:55:30.141
Command Sent Rack-1 Picked from J18 - #201,2,1,39344,8590,0,0*60ef  * 07-04-2025 16:55:46.963
CRC-Response  - 201,2,I001,1*f71d * 07-04-2025 16:55:47.182
CRC-Response  - 201,2,F000,1*c84c * 07-04-2025 16:55:52.266
RA Picked Rack From J18 * 07-04-2025 16:55:52.272
Command Sent Rack-1 Placed in W6 - #202,3,1,42974,8590,0,0*bff1  * 07-04-2025 16:55:52.902
CRC-Response  - 202,3,I001,1*342c * 07-04-2025 16:55:53.111
CRC-Response  - 202,3,F000,1*0b7d * 07-04-2025 16:55:58.724
RA Placed Rack in W6 * 07-04-2025 16:55:58.728
Command Sent WATER VALVE - 2 CONTROL ON - #203,13,2,1*9e5f  * 07-04-2025 16:55:59.856
CRC-Response  - 203,13,F000*8a05 * 07-04-2025 16:56:00.70
Command Sent WATER VALVE - 1 CONTROL ON - #204,13,1,1*78ee  * 07-04-2025 16:56:04.303
CRC-Response  - 204,13,F000*ba23 * 07-04-2025 16:56:04.519
Command Sent Rack-4 Picked from J2 - #205,2,2,13934,800,0,0*4d9f  * 07-04-2025 16:56:07.410
CRC-Response  - 205,2,I001,2*231c * 07-04-2025 16:56:07.621
5 Seconds Timer increments in Jar J8 for R2 as Command Execution under process in other function and timer updated for tmr_r2_incub() * 07-04-2025 16:56:10.727
CRC-Response  - 205,2,F000,2*1c4d * 07-04-2025 16:56:14.448
RA Picked Rack From J2 * 07-04-2025 16:56:14.456
Command Sent Rack-4 Placed in J4 - #206,3,2,21194,800,0,0*dd7c  * 07-04-2025 16:56:14.913
CRC-Response  - 206,3,I001,2*e02d * 07-04-2025 16:56:15.127
5 Seconds Timer increments in Jar J8 for R2 as Command Execution under process in other function and timer updated for tmr_r2_incub() * 07-04-2025 16:56:15.735
5 Seconds Timer increments in Jar J8 for R2 as Command Execution under process in other function and timer updated for tmr_r2_incub() * 07-04-2025 16:56:20.731
CRC-Response  - 206,3,F000,2*df7c * 07-04-2025 16:56:21.136
RA Placed Rack in J4 * 07-04-2025 16:56:21.140
11 Secconds Timer increments in Jar J6 for R3 as Command Execution under process in other function and timer upadted for tmr_r3_incub() * 07-04-2025 16:56:21.185
Command Sent Rack-2 Picked from J8 - #207,2,2,35714,800,0,0*9d7c  * 07-04-2025 16:56:25.909
CRC-Response  - 207,2,I001,2*e9bd * 07-04-2025 16:56:26.121
5 Secconds Timer increments in Jar J6 for R3 as Command Execution under process in other function and timer upadted for tmr_r3_incub() * 07-04-2025 16:56:32.207
CRC-Response  - 207,2,F000,2*d6ec * 07-04-2025 16:56:32.953
RA Picked Rack From J8 * 07-04-2025 16:56:32.961
Command Sent RA-1 Movement - #208,1,1,64754,800 ,0*e260  * 07-04-2025 16:56:33.376
CRC-Response  - 208,1,I001,1*cd8d * 07-04-2025 16:56:33.584
CRC-Response  - 208,1,F000,1*f2dc * 07-04-2025 16:56:36.883
RA Moved to assigned Location * 07-04-2025 16:56:36.893
11 Secconds Timer increments in Jar J6 for R3 as Command Execution under process in other function and timer upadted for tmr_r3_incub() * 07-04-2025 16:56:37.224
Command Sent Rack-2 Placed in W2 - #209,3,2,46604,800,0,0*9e1d  * 07-04-2025 16:56:37.758
CRC-Response  - 209,3,I001,2*d01d * 07-04-2025 16:56:37.977
CRC-Response  - 209,3,F000,2*ef4c * 07-04-2025 16:56:44.377
RA Placed Rack in W2 * 07-04-2025 16:56:44.381
Command Sent RA-2 Movement - #210,1,2,2688,800 ,0*17d1  * 07-04-2025 16:56:44.749
CRC-Response  - 210,1,I001,2*da48 * 07-04-2025 16:56:44.962
5 Secconds Timer increments in Jar J6 for R3 as Command Execution under process in other function and timer upadted for tmr_r3_incub() * 07-04-2025 16:56:48.318
CRC-Response  - 210,1,F000,2*e519 * 07-04-2025 16:56:50.716
RA Moved to assigned Location * 07-04-2025 16:56:50.721
Command Sent Rack-3 Picked from J6 - #211,2,2,28454,800,0,0*0768  * 07-04-2025 16:56:53.499
CRC-Response  - 211,2,I001,2*0a59 * 07-04-2025 16:56:53.708
5 Seconds Timer increments in Jar W6 for R1 as Command Execution under process in other function and timer updated for tmr_r1_incub() * 07-04-2025 16:56:59.343
CRC-Response  - 211,2,F000,2*3508 * 07-04-2025 16:57:01.800
RA Picked Rack From J6 * 07-04-2025 16:57:01.807
Command Sent RA-1 Movement - #212,1,1,64754,800 ,0*c47e  * 07-04-2025 16:57:02.465
CRC-Response  - 212,1,I001,1*11a9 * 07-04-2025 16:57:02.682
CRC-Response  - 212,1,F000,1*2ef8 * 07-04-2025 16:57:03.412
RA Moved to assigned Location * 07-04-2025 16:57:03.415
Command Sent Rack-3 Placed in W1 - #213,3,2,42974,800,0,0*97cb  * 07-04-2025 16:57:03.864
CRC-Response  - 213,3,I001,2*0c39 * 07-04-2025 16:57:04.75
5 Seconds Timer increments in Jar W6 for R1 as Command Execution under process in other function and timer updated for tmr_r1_incub() * 07-04-2025 16:57:04.371
5 Seconds Timer increments in Jar W6 for R1 as Command Execution under process in other function and timer updated for tmr_r1_incub() * 07-04-2025 16:57:09.410
CRC-Response  - 213,3,F000,2*3368 * 07-04-2025 16:57:10.901
RA Placed Rack in W1 * 07-04-2025 16:57:10.907
Command Sent RA-2 Movement - #214,1,2,2688,800 ,0*d693  * 07-04-2025 16:57:11.318
CRC-Response  - 214,1,I001,2*0f09 * 07-04-2025 16:57:11.533
5 Seconds Timer increments in Jar W6 for R1 as Command Execution under process in other function and timer updated for tmr_r1_incub() * 07-04-2025 16:57:14.410
CRC-Response  - 214,1,F000,2*3058 * 07-04-2025 16:57:16.884
RA Moved to assigned Location * 07-04-2025 16:57:16.894
Command Sent WATER VALVE - 6 CONTROL OFF - #215,13,6,0*2552  * 07-04-2025 16:57:19.576
CRC-Response  - 215,13,F000*ef7f * 07-04-2025 16:57:19.786
Command Sent Rack-1 Picked from W6 - #216,2,1,42974,8590,0,0*1641  * 07-04-2025 16:57:19.987
CRC-Response  - 216,2,I001,1*d1a8 * 07-04-2025 16:57:20.203
5 Secconds Timer increments in Jar H1 for R5 as Command Execution under process in other function and timer upated for tmr_r5_incub() * 07-04-2025 16:57:24.816
CRC-Response  - 216,2,F000,1*eef9 * 07-04-2025 16:57:27.846
RA Picked Rack From W6 * 07-04-2025 16:57:27.850
Command Sent RA-2 Movement - #217,1,2,2688,800 ,0*2663  * 07-04-2025 16:57:28.464
CRC-Response  - 217,1,I001,2*00f9 * 07-04-2025 16:57:28.674
CRC-Response  - 217,1,F000,2*3fa8 * 07-04-2025 16:57:29.416
RA Moved to assigned Location * 07-04-2025 16:57:29.423
