Device Intialization started * 05-04-2025 12:42:54.265
Command Sent SET TEMPERATURE - #0,10,37*84ca  * 05-04-2025 12:42:54.558
CRC-Response  - 64,11,F000,447*4eca * 05-04-2025 13:16:24.970
Command Sent READ TEMPERATURE - #65,11*45f6  * 05-04-2025 13:16:34.220
CRC-Response  - 65,11,F000,545*ce18 * 05-04-2025 13:16:34.438
Command Sent READ TEMPERATURE - #66,11*01f6  * 05-04-2025 13:16:35.122
CRC-Response  - 66,11,F000,545*0d1d * 05-04-2025 13:16:35.335
Command Sent READ TEMPERATURE - #67,11*fdf7  * 05-04-2025 13:16:45.515
CRC-Response  - 67,11,F000,545*8c1f * 05-04-2025 13:16:45.734
Command Sent READ TEMPERATURE - #68,11*e9f4  * 05-04-2025 13:16:55.909
CRC-Response  - 68,11,F000,545*830b * 05-04-2025 13:16:56.119
Command Sent READ TEMPERATURE - #69,11*15f5  * 05-04-2025 13:17:06.296
CRC-Response  - 69,11,F000,545*0209 * 05-04-2025 13:17:06.510
Command Sent READ TEMPERATURE - #70,11*49cb  * 05-04-2025 13:17:16.712
CRC-Response  - 70,11,F000,545*0a14 * 05-04-2025 13:17:16.921
Command Sent READ TEMPERATURE - #71,11*b5ca  * 05-04-2025 13:17:28.103
CRC-Response  - 71,11,F000,545*8b16 * 05-04-2025 13:17:28.316
Command Sent Rack-1 Picked from J1 - #72,2,1,10304,800,0,0*4d20  * 05-04-2025 13:18:06.837
CRC-Response  - 72,2,I001,1*ed2c * 05-04-2025 13:18:07.51
CRC-Response  - 72,2,F000,1*d27d * 05-04-2025 13:18:18.357
RA Picked Rack From J1 * 05-04-2025 13:18:18.363
Command Sent Rack-1 Placed in J2 - #73,3,1,13934,800,0,0*f299  * 05-04-2025 13:18:18.771
CRC-Response  - 73,3,I001,1*e4bc * 05-04-2025 13:18:18.989
CRC-Response  - 73,3,F000,1*dbed * 05-04-2025 13:18:24.610
RA Placed Rack in J2 * 05-04-2025 13:18:24.613
Command Sent RA-1 Movement - #74,1,1,64754,800 ,0*ec2a  * 05-04-2025 13:18:25.194
CRC-Response  - 74,1,I001,1*e78c * 05-04-2025 13:18:25.406
CRC-Response  - 74,1,F000,1*d8dd * 05-04-2025 13:18:31.938
RA Moved to assigned Location * 05-04-2025 13:18:31.940
Command Sent READ TEMPERATURE - #75,11*85cb  * 05-04-2025 13:18:33.866
CRC-Response  - 75,11,F000,545*0f18 * 05-04-2025 13:18:34.81
Command Sent READ TEMPERATURE - #76,11*c1cb  * 05-04-2025 13:18:44.246
CRC-Response  - 76,11,F000,545*cc1d * 05-04-2025 13:18:44.461
Command Sent READ TEMPERATURE - #77,11*3dca  * 05-04-2025 13:18:54.615
CRC-Response  - 77,11,F000,545*4d1f * 05-04-2025 13:18:54.827
Command Sent READ TEMPERATURE - #78,11*29c9  * 05-04-2025 13:19:05.4
CRC-Response  - 78,11,F000,545*420b * 05-04-2025 13:19:05.216
Command Sent READ TEMPERATURE - #79,11*d5c8  * 05-04-2025 13:19:15.387
CRC-Response  - 79,11,F000,447*c2d9 * 05-04-2025 13:19:15.601
Command Sent READ TEMPERATURE - #80,11*489f  * 05-04-2025 13:19:25.781
CRC-Response  - 80,11,F000,545*051b * 05-04-2025 13:19:26.1
Command Sent READ TEMPERATURE - #81,11*b49e  * 05-04-2025 13:19:36.163
CRC-Response  - 81,11,F000,-273*1ee2 * 05-04-2025 13:19:36.384
Command Sent READ TEMPERATURE - #82,11*f09e  * 05-04-2025 13:19:46.564
CRC-Response  - 82,11,F000,545*471c * 05-04-2025 13:19:46.775
Command Sent READ TEMPERATURE - #83,11*0c9f  * 05-04-2025 13:19:56.943
CRC-Response  - 83,11,F000,545*c61e * 05-04-2025 13:19:57.155
Command Sent READ TEMPERATURE - #84,11*789e  * 05-04-2025 13:20:08.323
CRC-Response  - 84,11,F000,545*8115 * 05-04-2025 13:20:08.530
Command Sent READ TEMPERATURE - #85,11*849f  * 05-04-2025 13:20:19.694
CRC-Response  - 85,11,F000,545*0017 * 05-04-2025 13:20:19.905
Command Sent Rack-1 Picked from J2 - #86,2,1,13934,800,0,0*5050  * 05-04-2025 13:20:25.390
CRC-Response  - 86,2,I001,1*2c5d * 05-04-2025 13:20:25.601
CRC-Response  - 86,2,F000,1*130c * 05-04-2025 13:20:36.480
RA Picked Rack From J2 * 05-04-2025 13:20:36.488
Command Sent Rack-1 Placed in J4 - #87,3,1,21194,800,0,0*78ca  * 05-04-2025 13:20:36.842
CRC-Response  - 87,3,I001,1*25cd * 05-04-2025 13:20:37.56
CRC-Response  - 87,3,F000,1*1a9c * 05-04-2025 13:20:43.78
RA Placed Rack in J4 * 05-04-2025 13:20:43.83
Command Sent RA-1 Movement - #88,1,1,64754,800 ,0*aabe  * 05-04-2025 13:20:43.783
CRC-Response  - 88,1,I001,1*cc7c * 05-04-2025 13:20:43.995
CRC-Response  - 88,1,F000,1*f32d * 05-04-2025 13:20:49.723
RA Moved to assigned Location * 05-04-2025 13:20:49.729
Command Sent READ TEMPERATURE - #89,11*d49c  * 05-04-2025 13:20:52.545
CRC-Response  - 89,11,F000,545*cc06 * 05-04-2025 13:20:52.758
Command Sent READ TEMPERATURE - #90,11*88a2  * 05-04-2025 13:21:09.948
CRC-Response  - 90,11,F000,447*c5cb * 05-04-2025 13:21:10.170
Command Sent HEATER DOOR OPEN - #91,8,1,1*9481  * 05-04-2025 13:21:13.455
CRC-Response  - 91,8,I001*424d * 05-04-2025 13:21:13.672
CRC-Response  - 91,8,F000*968f * 05-04-2025 13:21:14.15
Command Sent Rack-2 Picked from H1 - #92,2,1,2688,1000,0,1*f2c2  * 05-04-2025 13:21:14.339
CRC-Response  - 92,2,I001,1*0518 * 05-04-2025 13:21:14.559
CRC-Response  - 92,2,F000,1*3a49 * 05-04-2025 13:21:26.705
RA Picked Rack From H1 * 05-04-2025 13:21:26.710
Command Sent HEATER DOOR CLOSE - #93,8,1,0*9463  * 05-04-2025 13:21:27.322
CRC-Response  - 93,8,I001*9bcc * 05-04-2025 13:21:27.537
CRC-Response  - 93,8,F000*4f0e * 05-04-2025 13:21:27.881
Command Sent Rack-2 Placed in J1 - #94,3,1,10304,800,0,0*7a90  * 05-04-2025 13:21:28.206
CRC-Response  - 94,3,I001,1*d639 * 05-04-2025 13:21:28.423
CRC-Response  - 94,3,F000,1*e968 * 05-04-2025 13:21:34.480
RA Placed Rack in J1 * 05-04-2025 13:21:34.486
Command Sent RA-1 Movement - #95,1,1,64754,800 ,0*f911  * 05-04-2025 13:21:35.141
CRC-Response  - 95,1,I001,1*cae9 * 05-04-2025 13:21:35.357
CRC-Response  - 95,1,F000,1*f5b8 * 05-04-2025 13:21:42.293
RA Moved to assigned Location * 05-04-2025 13:21:42.298
Command Sent READ TEMPERATURE - #96,11*00a2  * 05-04-2025 13:21:43.516
CRC-Response  - 96,11,F000,545*0212 * 05-04-2025 13:21:43.732
Command Sent Home Command - #97,5,00111111*6263  * 05-04-2025 13:21:44.144
CRC-Response  - 97,5,I001,00111111*5acf * 05-04-2025 13:21:44.352
CRC-Response  - 97,5,F000*a10e * 05-04-2025 13:21:44.368
Command Sent HEATER DOOR OPEN - #98,8,1,1*9418  * 05-04-2025 13:21:45.26
CRC-Response  - 98,8,I001*288d * 05-04-2025 13:21:45.233
CRC-Response  - 98,8,F000*fc4f * 05-04-2025 13:21:45.589
Rack - R3Protocol Started * 05-04-2025 13:21:45.732
Command Sent Rack-3 Picked from L3 - #99,2,1,10304,16380,0,0*b8ca  * 05-04-2025 13:21:45.932
CRC-Response  - 99,2,I001,1*e069 * 05-04-2025 13:21:46.148
CRC-Response  - 99,2,F000,1*df38 * 05-04-2025 13:21:57.590
RA Picked Rack From L3 * 05-04-2025 13:21:57.593
Command Sent Rack-3 Placed in H1 - #100,3,1,2688,1000,0,1*602c  * 05-04-2025 13:21:57.933
CRC-Response  - 100,3,I001,1*fa89 * 05-04-2025 13:21:58.146
CRC-Response  - 100,3,F000,1*c5d8 * 05-04-2025 13:22:04.563
RA Placed Rack in H1 * 05-04-2025 13:22:04.569
Command Sent RA-1 Movement - #101,1,1,64754,800 ,0*4ff7  * 05-04-2025 13:22:04.859
CRC-Response  - 101,1,I001,1*e659 * 05-04-2025 13:22:05.73
Command Sent HEATER DOOR CLOSE - #102,8,1,0*54a0  * 05-04-2025 13:22:05.773
CRC-Response  - 102,8,I001*ca4c * 05-04-2025 13:22:05.986
CRC-Response  - 102,8,F000*1e8e * 05-04-2025 13:22:06.326
Command Sent READ TEMPERATURE - #103,11*f75e  * 05-04-2025 13:22:06.745
CRC-Response  - 103,11,F000,545*a40d * 05-04-2025 13:22:06.957
CRC-Response  - 101,1,F000,1*d908 * 05-04-2025 13:22:12.869
RA Moved to assigned Location * 05-04-2025 13:22:12.874
Command Sent READ TEMPERATURE - #104,11*835f  * 05-04-2025 13:22:17.118
CRC-Response  - 104,11,F000,545*e306 * 05-04-2025 13:22:17.323
Command Sent READ TEMPERATURE - #105,11*7f5e  * 05-04-2025 13:22:26.17
CRC-Response  - 105,11,F000,545*6204 * 05-04-2025 13:22:26.223
Command Sent Rack-1 Picked from J4 - #106,2,1,21194,800,0,0*7f5d  * 05-04-2025 13:22:44.161
CRC-Response  - 106,2,I001,1*29a8 * 05-04-2025 13:22:44.375
CRC-Response  - 106,2,F000,1*16f9 * 05-04-2025 13:22:54.444
RA Picked Rack From J4 * 05-04-2025 13:22:54.451
Command Sent Rack-1 Placed in J5 - #107,3,1,24824,800,0,0*6662  * 05-04-2025 13:22:54.674
CRC-Response  - 107,3,I001,1*2038 * 05-04-2025 13:22:54.896
CRC-Response  - 107,3,F000,1*1f69 * 05-04-2025 13:23:00.504
RA Placed Rack in J5 * 05-04-2025 13:23:00.509
Command Sent RA-1 Movement - #108,1,1,64754,800 ,0*d124  * 05-04-2025 13:23:01.114
CRC-Response  - 108,1,I001,1*c989 * 05-04-2025 13:23:01.325
CRC-Response  - 108,1,F000,1*f6d8 * 05-04-2025 13:23:06.647
RA Moved to assigned Location * 05-04-2025 13:23:06.650
Command Sent READ TEMPERATURE - #109,11*2f5d  * 05-04-2025 13:23:10.597
CRC-Response  - 109,11,F000,545*ae15 * 05-04-2025 13:23:10.812
Command Sent READ TEMPERATURE - #110,11*7363  * 05-04-2025 13:23:28.26
CRC-Response  - 110,11,F000,545*a608 * 05-04-2025 13:23:28.239
Command Sent Rack-2 Picked from J1 - #111,2,1,10304,800,0,0*4df6  * 05-04-2025 13:23:35.551
CRC-Response  - 111,2,I001,1*0f1d * 05-04-2025 13:23:35.766
CRC-Response  - 111,2,F000,1*304c * 05-04-2025 13:23:47.70
RA Picked Rack From J1 * 05-04-2025 13:23:47.73
Command Sent Rack-2 Placed in J2 - #112,3,1,13934,800,0,0*4a36  * 05-04-2025 13:23:47.548
CRC-Response  - 112,3,I001,1*cc2c * 05-04-2025 13:23:47.767
CRC-Response  - 112,3,F000,1*f37d * 05-04-2025 13:23:53.383
RA Placed Rack in J2 * 05-04-2025 13:23:53.389
Command Sent RA-1 Movement - #113,1,1,64754,800 ,0*0b6b  * 05-04-2025 13:23:54.8
CRC-Response  - 113,1,I001,1*d0fc * 05-04-2025 13:23:54.222
CRC-Response  - 113,1,F000,1*efad * 05-04-2025 13:24:00.759
RA Moved to assigned Location * 05-04-2025 13:24:00.765
Command Sent READ TEMPERATURE - #114,11*4362  * 05-04-2025 13:24:02.674
CRC-Response  - 114,11,F000,545*2206 * 05-04-2025 13:24:02.888
Command Sent READ TEMPERATURE - #115,11*bf63  * 05-04-2025 13:24:13.75
CRC-Response  - 115,11,F000,545*a304 * 05-04-2025 13:24:13.290
Command Sent READ TEMPERATURE - #116,11*fb63  * 05-04-2025 13:24:23.465
CRC-Response  - 116,11,F000,545*6001 * 05-04-2025 13:24:23.676
Command Sent READ TEMPERATURE - #117,11*0762  * 05-04-2025 13:24:33.846
CRC-Response  - 117,11,F000,545*e103 * 05-04-2025 13:24:34.63
Command Sent READ TEMPERATURE - #118,11*1361  * 05-04-2025 13:24:45.257
CRC-Response  - 118,11,F000,545*ee17 * 05-04-2025 13:24:45.471
Command Sent READ TEMPERATURE - #119,11*ef60  * 05-04-2025 13:24:56.637
CRC-Response  - 119,11,F000,545*6f15 * 05-04-2025 13:24:56.848
Command Sent Rack-1 Picked from J5 - #120,2,1,24824,800,0,0*60ff  * 05-04-2025 13:25:01.503
CRC-Response  - 120,2,I001,1*8e43 * 05-04-2025 13:25:01.717
CRC-Response  - 120,2,F000,1*b112 * 05-04-2025 13:25:11.387
RA Picked Rack From J5 * 05-04-2025 13:25:11.392
Command Sent Rack-1 Placed in J6 - #121,3,1,28454,800,0,0*960d  * 05-04-2025 13:25:11.975
CRC-Response  - 121,3,I001,1*87d3 * 05-04-2025 13:25:12.185
CRC-Response  - 121,3,F000,1*b882 * 05-04-2025 13:25:17.808
RA Placed Rack in J6 * 05-04-2025 13:25:17.811
Command Sent RA-1 Movement - #122,1,1,64754,800 ,0*b37e  * 05-04-2025 13:25:18.394
CRC-Response  - 122,1,I001,1*51a2 * 05-04-2025 13:25:18.606
CRC-Response  - 122,1,F000,1*6ef3 * 05-04-2025 13:25:23.521
RA Moved to assigned Location * 05-04-2025 13:25:23.527
Command Sent READ TEMPERATURE - #123,11*3727  * 05-04-2025 13:25:27.539
CRC-Response  - 123,11,F000,545*660e * 05-04-2025 13:25:27.750
Command Sent READ TEMPERATURE - #124,11*4326  * 05-04-2025 13:25:45.948
CRC-Response  - 124,11,F000,545*2105 * 05-04-2025 13:25:46.163
Command Sent Rack-2 Picked from J2 - #125,2,1,13934,800,0,0*9d96  * 05-04-2025 13:25:54.321
CRC-Response  - 125,2,I001,1*9e53 * 05-04-2025 13:25:54.541
CRC-Response  - 125,2,F000,1*a102 * 05-04-2025 13:26:05.435
RA Picked Rack From J2 * 05-04-2025 13:26:05.443
Command Sent Rack-2 Placed in J4 - #126,3,1,21194,800,0,0*0d75  * 05-04-2025 13:26:05.827
CRC-Response  - 126,3,I001,1*5d62 * 05-04-2025 13:26:06.41
CRC-Response  - 126,3,F000,1*6233 * 05-04-2025 13:26:12.66
RA Placed Rack in J4 * 05-04-2025 13:26:12.72
Command Sent RA-1 Movement - #127,1,1,64754,800 ,0*7e6e  * 05-04-2025 13:26:12.269
CRC-Response  - 127,1,I001,1*41b2 * 05-04-2025 13:26:12.486
CRC-Response  - 127,1,F000,1*7ee3 * 05-04-2025 13:26:18.205
RA Moved to assigned Location * 05-04-2025 13:26:18.211
Command Sent READ TEMPERATURE - #128,11*1325  * 05-04-2025 13:26:21.408
CRC-Response  - 128,11,F000,545*ed14 * 05-04-2025 13:26:21.615
Command Sent READ TEMPERATURE - #129,11*ef24  * 05-04-2025 13:26:31.779
CRC-Response  - 129,11,F000,-273*1a4a * 05-04-2025 13:26:31.993
Command Sent READ TEMPERATURE - #130,11*b31a  * 05-04-2025 13:26:42.169
CRC-Response  - 130,11,F000,545*640b * 05-04-2025 13:26:42.384
Command Sent READ TEMPERATURE - #131,11*4f1b  * 05-04-2025 13:26:53.575
CRC-Response  - 131,11,F000,545*e509 * 05-04-2025 13:26:53.785
Command Sent WATER VALVE - 1 CONTROL ON - #132,13,1,1*ad8a  * 05-04-2025 13:27:01.697
CRC-Response  - 132,13,F000*51f7 * 05-04-2025 13:27:01.911
Command Sent HEATER DOOR OPEN - #133,8,1,1*4131  * 05-04-2025 13:27:05.700
CRC-Response  - 133,8,I001*f699 * 05-04-2025 13:27:05.914
CRC-Response  - 133,8,F000*225b * 05-04-2025 13:27:06.254
Command Sent Rack-3 Picked from H1 - #134,2,1,2688,1000,0,1*f3c8  * 05-04-2025 13:27:06.600
CRC-Response  - 134,2,I001,1*a706 * 05-04-2025 13:27:06.808
5 Seconds Timer increments in Jar J6 for R1 as Command Execution under process in other function and timer updated for tmr_r1_incub() * 05-04-2025 13:27:18.551
CRC-Response  - 134,2,F000,1*9857 * 05-04-2025 13:27:18.967
RA Picked Rack From H1 * 05-04-2025 13:27:18.971
Command Sent HEATER DOOR CLOSE - #135,8,1,0*8196  * 05-04-2025 13:27:19.621
CRC-Response  - 135,8,I001*dc19 * 05-04-2025 13:27:19.841
CRC-Response  - 135,8,F000*08db * 05-04-2025 13:27:20.180
Command Sent Rack-3 Placed in J1 - #136,3,1,10304,800,0,0*4b6b  * 05-04-2025 13:27:20.505
CRC-Response  - 136,3,I001,1*a166 * 05-04-2025 13:27:20.721
5 Seconds Timer increments in Jar J6 for R1 as Command Execution under process in other function and timer updated for tmr_r1_incub() * 05-04-2025 13:27:23.554
CRC-Response  - 136,3,F000,1*9e37 * 05-04-2025 13:27:26.781
RA Placed Rack in J1 * 05-04-2025 13:27:26.785
Command Sent RA-1 Movement - #137,1,1,64754,800 ,0*8253  * 05-04-2025 13:27:27.432
CRC-Response  - 137,1,I001,1*bdb6 * 05-04-2025 13:27:27.643
5 Seconds Timer increments in Jar J6 for R1 as Command Execution under process in other function and timer updated for tmr_r1_incub() * 05-04-2025 13:27:28.580
5 Seconds Timer increments in Jar J6 for R1 as Command Execution under process in other function and timer updated for tmr_r1_incub() * 05-04-2025 13:27:33.603
CRC-Response  - 137,1,F000,1*82e7 * 05-04-2025 13:27:34.579
RA Moved to assigned Location * 05-04-2025 13:27:34.583
Command Sent Rack-1 Picked from J6 - #138,2,1,28454,800,0,0*4abe  * 05-04-2025 13:27:38.772
CRC-Response  - 138,2,I001,1*98c6 * 05-04-2025 13:27:38.990
CRC-Response  - 138,2,F000,1*a797 * 05-04-2025 13:27:48.255
RA Picked Rack From J6 * 05-04-2025 13:27:48.259
Command Sent Rack-1 Placed in W1 - #139,3,1,42974,800,0,0*9e59  * 05-04-2025 13:27:48.708
CRC-Response  - 139,3,I001,1*9156 * 05-04-2025 13:27:48.922
CRC-Response  - 139,3,F000,1*ae07 * 05-04-2025 13:27:55.748
RA Placed Rack in W1 * 05-04-2025 13:27:55.753
Command Sent READ TEMPERATURE - #140,11*73af  * 05-04-2025 13:27:58.781
CRC-Response  - 140,11,F000,545*a30d * 05-04-2025 13:27:58.993
Command Sent Rack-2 Picked from J4 - #141,2,1,21194,800,0,0*8f19  * 05-04-2025 13:28:12.589
CRC-Response  - 141,2,I001,1*c30c * 05-04-2025 13:28:12.802
CRC-Response  - 141,2,F000,1*fc5d * 05-04-2025 13:28:20.446
RA Picked Rack From J4 * 05-04-2025 13:28:20.452
Command Sent Rack-2 Placed in J5 - #142,3,1,24824,800,0,0*2e5f  * 05-04-2025 13:28:21.50
CRC-Response  - 142,3,I001,1*003d * 05-04-2025 13:28:21.272
CRC-Response  - 142,3,F000,1*3f6c * 05-04-2025 13:28:26.886
RA Placed Rack in J5 * 05-04-2025 13:28:26.891
Command Sent RA-1 Movement - #143,1,1,64754,800 ,0*c7a7  * 05-04-2025 13:28:27.473
CRC-Response  - 143,1,I001,1*1ced * 05-04-2025 13:28:27.692
CRC-Response  - 143,1,F000,1*23bc * 05-04-2025 13:28:33.8
RA Moved to assigned Location * 05-04-2025 13:28:33.13
Command Sent READ TEMPERATURE - #144,11*43ae  * 05-04-2025 13:28:36.265
CRC-Response  - 144,11,F000,545*2703 * 05-04-2025 13:28:36.482
Command Sent Home Command - #145,5,00111111*f311  * 05-04-2025 13:28:38.872
CRC-Response  - 145,5,I001,00111111*addb * 05-04-2025 13:28:39.85
CRC-Response  - 145,5,F000*25fc * 05-04-2025 13:28:39.97
Command Sent HEATER DOOR OPEN - #146,8,1,1*a725  * 05-04-2025 13:28:44.772
CRC-Response  - 146,8,I001*f97f * 05-04-2025 13:28:44.989
CRC-Response  - 146,8,F000*2dbd * 05-04-2025 13:28:45.330
Command Sent Level Sensing For L1 - #147,4,17564,16380,0,0*d392  * 05-04-2025 13:28:45.646
CRC-Response  - 147,4,I001*f9be * 05-04-2025 13:28:45.855
CRC-Response  - 147,4,F000,962*71c7 * 05-04-2025 13:28:54.141
L1 Value - 962 * 05-04-2025 13:28:54.162
Command Sent Level Sensing For L2 - #148,4,13934,16380,0,0*c2dd  * 05-04-2025 13:28:54.542
CRC-Response  - 148,4,I001*b9fe * 05-04-2025 13:28:54.754
CRC-Response  - 148,4,F000,965*a792 * 05-04-2025 13:28:57.48
L2 Value - 965 * 05-04-2025 13:28:57.77
Command Sent Level Sensing For L3 - #149,4,10304,16380,0,0*33ff  * 05-04-2025 13:28:57.410
CRC-Response  - 149,4,I001*753f * 05-04-2025 13:28:57.620
CRC-Response  - 149,4,F000,964*a4ae * 05-04-2025 13:28:59.918
L3 Value - 964 * 05-04-2025 13:28:59.941
Command Sent Home Command - #150,5,01111111*be0f  * 05-04-2025 13:29:00.307
CRC-Response  - 150,5,I001,01111111*c089 * 05-04-2025 13:29:00.524
CRC-Response  - 150,5,F000*8a31 * 05-04-2025 13:29:00.531
Command Sent Home Command - #151,5,01111111*7df2  * 05-04-2025 13:29:02.240
CRC-Response  - 151,5,I001,01111111*50d8 * 05-04-2025 13:29:02.446
CRC-Response  - 151,5,F000*46f0 * 05-04-2025 13:29:02.459
Rack - 4Protocol Started * 05-04-2025 13:29:03.721
Command Sent Rack-4 Picked from L1 - #152,2,1,17564,16380,0,0*e630  * 05-04-2025 13:29:03.953
CRC-Response  - 152,2,I001,1*30f8 * 05-04-2025 13:29:04.170
CRC-Response  - 152,2,F000,1*0fa9 * 05-04-2025 13:29:14.804
RA Picked Rack From L1 * 05-04-2025 13:29:14.809
Command Sent Rack-4 Placed in H1 - #153,3,1,2688,1000,0,1*71a4  * 05-04-2025 13:29:15.507
CRC-Response  - 153,3,I001,1*3968 * 05-04-2025 13:29:15.719
CRC-Response  - 153,3,F000,1*0639 * 05-04-2025 13:29:22.613
RA Placed Rack in H1 * 05-04-2025 13:29:22.619
Command Sent RA-1 Movement - #154,1,1,64754,800 ,0*4e2b  * 05-04-2025 13:29:22.923
CRC-Response  - 154,1,I001,1*3a58 * 05-04-2025 13:29:23.133
Command Sent HEATER DOOR CLOSE - #155,8,1,0*ab16  * 05-04-2025 13:29:23.822
CRC-Response  - 155,8,I001*7c32 * 05-04-2025 13:29:24.32
CRC-Response  - 155,8,F000*a8f0 * 05-04-2025 13:29:24.388
Command Sent READ TEMPERATURE - #156,11*3b92  * 05-04-2025 13:29:24.821
CRC-Response  - 156,11,F000,545*a404 * 05-04-2025 13:29:25.39
11 Secconds Timer increments in Jar J1 for R3 as Command Execution under process in other function and timer upadted for tmr_r3_incub() * 05-04-2025 13:29:27.626
CRC-Response  - 154,1,F000,1*0509 * 05-04-2025 13:29:30.936
RA Moved to assigned Location * 05-04-2025 13:29:30.939
11 Secconds Timer increments in Jar J1 for R3 as Command Execution under process in other function and timer upadted for tmr_r3_incub() * 05-04-2025 13:29:38.664
11 Secconds Timer increments in Jar J1 for R3 as Command Execution under process in other function and timer upadted for tmr_r3_incub() * 05-04-2025 13:29:49.687
18 Seconds Timer increments in Jar W1 for R1 as Command Execution under process in other function and timer updated for tmr_r1_incub() * 05-04-2025 13:29:56.248
11 Secconds Timer increments in Jar J1 for R3 as Command Execution under process in other function and timer upadted for tmr_r3_incub() * 05-04-2025 13:30:00.705
11 Secconds Timer increments in Jar J1 for R3 as Command Execution under process in other function and timer upadted for tmr_r3_incub() * 05-04-2025 13:30:11.704
18 Seconds Timer increments in Jar W1 for R1 as Command Execution under process in other function and timer updated for tmr_r1_incub() * 05-04-2025 13:30:14.287
11 Secconds Timer increments in Jar J1 for R3 as Command Execution under process in other function and timer upadted for tmr_r3_incub() * 05-04-2025 13:30:22.709
11 Seconds Timer increments in Jar J5 for R2 as Command Execution under process in other function and timer updated for tmr_r2_incub() * 05-04-2025 13:30:27.630
18 Seconds Timer increments in Jar W1 for R1 as Command Execution under process in other function and timer updated for tmr_r1_incub() * 05-04-2025 13:30:32.367
11 Secconds Timer increments in Jar J1 for R3 as Command Execution under process in other function and timer upadted for tmr_r3_incub() * 05-04-2025 13:30:33.736
11 Seconds Timer increments in Jar J5 for R2 as Command Execution under process in other function and timer updated for tmr_r2_incub() * 05-04-2025 13:30:38.694
11 Secconds Timer increments in Jar J1 for R3 as Command Execution under process in other function and timer upadted for tmr_r3_incub() * 05-04-2025 13:30:44.810
11 Seconds Timer increments in Jar J5 for R2 as Command Execution under process in other function and timer updated for tmr_r2_incub() * 05-04-2025 13:30:49.722
11 Seconds Timer increments in Jar W1 for R1 as Command Execution under process in other function and timer updated for tmr_r1_incub() * 05-04-2025 13:30:50.364
11 Secconds Timer increments in Jar J1 for R3 as Command Execution under process in other function and timer upadted for tmr_r3_incub() * 05-04-2025 13:30:55.849
11 Seconds Timer increments in Jar J5 for R2 as Command Execution under process in other function and timer updated for tmr_r2_incub() * 05-04-2025 13:31:00.747
11 Seconds Timer increments in Jar W1 for R1 as Command Execution under process in other function and timer updated for tmr_r1_incub() * 05-04-2025 13:31:01.428
11 Secconds Timer increments in Jar J1 for R3 as Command Execution under process in other function and timer upadted for tmr_r3_incub() * 05-04-2025 13:31:06.865
11 Seconds Timer increments in Jar J5 for R2 as Command Execution under process in other function and timer updated for tmr_r2_incub() * 05-04-2025 13:31:11.799
11 Seconds Timer increments in Jar W1 for R1 as Command Execution under process in other function and timer updated for tmr_r1_incub() * 05-04-2025 13:31:12.455
11 Secconds Timer increments in Jar J1 for R3 as Command Execution under process in other function and timer upadted for tmr_r3_incub() * 05-04-2025 13:31:17.867
11 Seconds Timer increments in Jar J5 for R2 as Command Execution under process in other function and timer updated for tmr_r2_incub() * 05-04-2025 13:31:22.833
11 Seconds Timer increments in Jar W1 for R1 as Command Execution under process in other function and timer updated for tmr_r1_incub() * 05-04-2025 13:31:23.482
11 Secconds Timer increments in Jar J1 for R3 as Command Execution under process in other function and timer upadted for tmr_r3_incub() * 05-04-2025 13:31:28.880
11 Seconds Timer increments in Jar J5 for R2 as Command Execution under process in other function and timer updated for tmr_r2_incub() * 05-04-2025 13:31:33.827
11 Seconds Timer increments in Jar W1 for R1 as Command Execution under process in other function and timer updated for tmr_r1_incub() * 05-04-2025 13:31:34.492
11 Secconds Timer increments in Jar J1 for R3 as Command Execution under process in other function and timer upadted for tmr_r3_incub() * 05-04-2025 13:31:39.918
11 Seconds Timer increments in Jar J5 for R2 as Command Execution under process in other function and timer updated for tmr_r2_incub() * 05-04-2025 13:31:44.832
11 Seconds Timer increments in Jar W1 for R1 as Command Execution under process in other function and timer updated for tmr_r1_incub() * 05-04-2025 13:31:45.482
11 Secconds Timer increments in Jar J1 for R3 as Command Execution under process in other function and timer upadted for tmr_r3_incub() * 05-04-2025 13:31:50.996
11 Seconds Timer increments in Jar J5 for R2 as Command Execution under process in other function and timer updated for tmr_r2_incub() * 05-04-2025 13:31:55.837
11 Seconds Timer increments in Jar W1 for R1 as Command Execution under process in other function and timer updated for tmr_r1_incub() * 05-04-2025 13:31:56.514
11 Secconds Timer increments in Jar J1 for R3 as Command Execution under process in other function and timer upadted for tmr_r3_incub() * 05-04-2025 13:32:02.28
11 Seconds Timer increments in Jar J5 for R2 as Command Execution under process in other function and timer updated for tmr_r2_incub() * 05-04-2025 13:32:06.830
11 Seconds Timer increments in Jar W1 for R1 as Command Execution under process in other function and timer updated for tmr_r1_incub() * 05-04-2025 13:32:07.577
11 Secconds Timer increments in Jar J1 for R3 as Command Execution under process in other function and timer upadted for tmr_r3_incub() * 05-04-2025 13:32:13.89
11 Seconds Timer increments in Jar J5 for R2 as Command Execution under process in other function and timer updated for tmr_r2_incub() * 05-04-2025 13:32:17.834
11 Seconds Timer increments in Jar W1 for R1 as Command Execution under process in other function and timer updated for tmr_r1_incub() * 05-04-2025 13:32:18.575
11 Secconds Timer increments in Jar J1 for R3 as Command Execution under process in other function and timer upadted for tmr_r3_incub() * 05-04-2025 13:32:24.109
