Command Sent SET TEMPERATURE - #0,10,32*870a  * 24-03-2025 13:52:31.636
CRC-Response  - 137,11,F000,545*2300 * 24-03-2025 14:10:03.417
Command Sent HEATER DOOR OPEN - #138,8,1,1*818b  * 24-03-2025 14:10:08.547
CRC-Response  - 138,8,I001*45d8 * 24-03-2025 14:10:08.764
CRC-Response  - 138,8,F000*911a * 24-03-2025 14:10:09.103
Command Sent Rack-3 Picked from H1 - #139,2,1,2688,1000,0,1*5ee6  * 24-03-2025 14:10:09.430
CRC-Response  - 139,2,I001,1*5d97 * 24-03-2025 14:10:09.642
CRC-Response  - 139,2,F000,1*62c6 * 24-03-2025 14:10:19.330
RA Picked Rack From H1 * 24-03-2025 14:10:19.336
Command Sent HEATER DOOR CLOSE - #140,8,1,0*6782  * 24-03-2025 14:10:19.902
CRC-Response  - 140,8,I001*d3ff * 24-03-2025 14:10:20.117
CRC-Response  - 140,8,F000*073d * 24-03-2025 14:10:20.458
Command Sent Rack-3 Placed in J1 - #141,3,1,10304,800,0,0*886b  * 24-03-2025 14:10:20.806
CRC-Response  - 141,3,I001,1*0fcd * 24-03-2025 14:10:21.27
CRC-Response  - 141,3,F000,1*309c * 24-03-2025 14:10:27.71
RA Placed Rack in J1 * 24-03-2025 14:10:27.76
Command Sent READ TEMPERATURE - #142,11*cbae  * 24-03-2025 14:10:31.610
CRC-Response  - 142,11,F000,545*e10a * 24-03-2025 14:10:31.821
Command Sent READ TEMPERATURE - #143,11*37af  * 24-03-2025 14:10:55.259
CRC-Response  - 143,11,F000,545*6008 * 24-03-2025 14:10:55.474
Command Sent Rack-2 Picked from J4 - #144,2,1,21194,800 ,0,0*1c5c  * 24-03-2025 14:11:09.22
CRC-Response  - 144,2,I001,1*d31c * 24-03-2025 14:11:09.231
CRC-Response  - 144,2,F000,1*ec4d * 24-03-2025 14:11:15.651
RA Picked Rack From J4 * 24-03-2025 14:11:15.656
Command Sent Rack-2 Placed in J5 - #145,3,1,24824,800 ,0,0*0c05  * 24-03-2025 14:11:16.20
CRC-Response  - 145,3,I001,1*da8c * 24-03-2025 14:11:16.232
CRC-Response  - 145,3,F000,1*e5dd * 24-03-2025 14:11:21.850
RA Placed Rack in J5 * 24-03-2025 14:11:21.854
Command Sent READ TEMPERATURE - #146,11*fbaf  * 24-03-2025 14:11:26.772
CRC-Response  - 146,11,F000,545*6504 * 24-03-2025 14:11:26.986
Command Sent READ TEMPERATURE - #147,11*07ae  * 24-03-2025 14:11:37.159
CRC-Response  - 147,11,F000,545*e406 * 24-03-2025 14:11:37.365
Command Sent READ TEMPERATURE - #148,11*13ad  * 24-03-2025 14:11:48.598
CRC-Response  - 148,11,F000,545*eb12 * 24-03-2025 14:11:48.811
Command Sent READ TEMPERATURE - #149,11*efac  * 24-03-2025 14:11:58.972
CRC-Response  - 149,11,F000,545*6a10 * 24-03-2025 14:11:59.184
Command Sent WATER VALVE - 1 CONTROL OFF - #150,13,1,0*14e1  * 24-03-2025 14:12:00.316
CRC-Response  - 150,13,F000*2e0e * 24-03-2025 14:12:00.529
Command Sent Rack-1 Picked from W1 - #151,2,1,42974,800 ,0,0*6a56  * 24-03-2025 14:12:00.714
CRC-Response  - 151,2,I001,1*3f08 * 24-03-2025 14:12:00.930
CRC-Response  - 151,2,F000,1*0059 * 24-03-2025 14:12:08.162
RA Picked Rack From W1 * 24-03-2025 14:12:08.166
Command Sent Rack-1 Placed in J8 - #152,3,1,35714,800 ,0,0*7ab9  * 24-03-2025 14:12:08.683
CRC-Response  - 152,3,I001,1*fc39 * 24-03-2025 14:12:08.903
CRC-Response  - 152,3,F000,1*c368 * 24-03-2025 14:12:14.900
RA Placed Rack in J8 * 24-03-2025 14:12:14.905
Command Sent READ TEMPERATURE - #153,11*f792  * 24-03-2025 14:12:19.410
CRC-Response  - 153,11,F000,545*a108 * 24-03-2025 14:12:19.622
Command Sent Rack-3 Picked from J1 - #154,2,1,10304,800,0,0*05cb  * 24-03-2025 14:12:28.301
CRC-Response  - 154,2,I001,1*2f18 * 24-03-2025 14:12:28.511
CRC-Response  - 154,2,F000,1*1049 * 24-03-2025 14:12:36.542
RA Picked Rack From J1 * 24-03-2025 14:12:36.546
Command Sent Rack-3 Placed in J2 - #155,3,1,13934,800 ,0,0*a6e4  * 24-03-2025 14:12:36.760
CRC-Response  - 155,3,I001,1*2688 * 24-03-2025 14:12:36.973
CRC-Response  - 155,3,F000,1*19d9 * 24-03-2025 14:12:42.577
RA Placed Rack in J2 * 24-03-2025 14:12:42.580
Command Sent READ TEMPERATURE - #156,11*3b92  * 24-03-2025 14:12:47.363
CRC-Response  - 156,11,F000,545*a404 * 24-03-2025 14:12:47.577
Command Sent READ TEMPERATURE - #157,11*c793  * 24-03-2025 14:12:57.759
CRC-Response  - 157,11,F000,545*2506 * 24-03-2025 14:12:57.973
Command Sent READ TEMPERATURE - #158,11*d390  * 24-03-2025 14:13:09.158
CRC-Response  - 158,11,F000,545*2a12 * 24-03-2025 14:13:09.375
Command Sent Rack-2 Picked from J5 - #159,2,1,24824,800 ,0,0*ec54  * 24-03-2025 14:13:22.847
CRC-Response  - 159,2,I001,1*d589 * 24-03-2025 14:13:23.62
CRC-Response  - 159,2,F000,1*ead8 * 24-03-2025 14:13:29.474
RA Picked Rack From J5 * 24-03-2025 14:13:29.477
Command Sent Rack-2 Placed in J6 - #160,3,1,28454,800 ,0,0*13f1  * 24-03-2025 14:13:29.822
CRC-Response  - 160,3,I001,1*7297 * 24-03-2025 14:13:30.30
CRC-Response  - 160,3,F000,1*4dc6 * 24-03-2025 14:13:35.643
RA Placed Rack in J6 * 24-03-2025 14:13:35.648
Command Sent HEATER DOOR OPEN - #161,8,1,1*bed2  * 24-03-2025 14:13:37.891
CRC-Response  - 161,8,I001*7f27 * 24-03-2025 14:13:38.104
CRC-Response  - 161,8,F000*abe5 * 24-03-2025 14:13:38.445
Command Sent Level Sensing For L1 - #162,4,17564,16380,0,0*fd27  * 24-03-2025 14:13:38.780
CRC-Response  - 162,4,I001*a667 * 24-03-2025 14:13:39.1
CRC-Response  - 162,4,F000,975*6d8c * 24-03-2025 14:13:43.80
L1 Value - 200 * 24-03-2025 14:13:43.103
Command Sent Level Sensing For L2 - #163,4,13934,16380,0,0*0502  * 24-03-2025 14:13:43.683
CRC-Response  - 163,4,I001*6aa6 * 24-03-2025 14:13:43.897
CRC-Response  - 163,4,F000,963*3cf0 * 24-03-2025 14:13:46.185
L2 Value - 200 * 24-03-2025 14:13:46.209
Command Sent Level Sensing For L3 - #164,4,10304,16380,0,0*7ca8  * 24-03-2025 14:13:46.555
CRC-Response  - 164,4,I001*8ce7 * 24-03-2025 14:13:46.770
CRC-Response  - 164,4,F000,971*a685 * 24-03-2025 14:13:49.47
L3 Value - 200 * 24-03-2025 14:13:49.74
Command Sent Home Command - #165,5,01111111*7106  * 24-03-2025 14:13:49.477
CRC-Response  - 165,5,I001,01111111*d56a * 24-03-2025 14:13:49.697
CRC-Response  - 165,5,F000*45e5 * 24-03-2025 14:13:49.703
Command Sent Home Command - #166,5,01111111*7502  * 24-03-2025 14:13:51.388
CRC-Response  - 166,5,I001,01111111*259a * 24-03-2025 14:13:51.593
CRC-Response  - 166,5,F000*50a5 * 24-03-2025 14:13:51.597
Rack - 4Protocol Started * 24-03-2025 14:13:52.859
Command Sent Rack-4 Picked from L1 - #167,2,1,17564,16380,0,0*a616  * 24-03-2025 14:13:53.76
CRC-Response  - 167,2,I001,1*64e7 * 24-03-2025 14:13:53.287
CRC-Response  - 167,2,F000,1*5bb6 * 24-03-2025 14:14:03.909
RA Picked Rack From L1 * 24-03-2025 14:14:03.912
Command Sent Rack-4 Placed in H1 - #168,3,1,2688,1000,0,1*6746  * 24-03-2025 14:14:04.564
CRC-Response  - 168,3,I001,1*9816 * 24-03-2025 14:14:04.776
CRC-Response  - 168,3,F000,1*a747 * 24-03-2025 14:14:11.651
RA Placed Rack in H1 * 24-03-2025 14:14:11.655
Command Sent HEATER DOOR CLOSE - #169,8,1,0*be9a  * 24-03-2025 14:14:12.9
CRC-Response  - 169,8,I001*d926 * 24-03-2025 14:14:12.219
CRC-Response  - 169,8,F000*0de4 * 24-03-2025 14:14:12.559
Command Sent READ TEMPERATURE - #170,11*73eb  * 24-03-2025 14:14:12.911
CRC-Response  - 170,11,F000,545*a00e * 24-03-2025 14:14:13.130
Command Sent READ TEMPERATURE - #171,11*8fea  * 24-03-2025 14:14:14.615
CRC-Response  - 171,11,F000,545*210c * 24-03-2025 14:14:14.830
Command Sent READ TEMPERATURE - #172,11*cbea  * 24-03-2025 14:14:23.298
CRC-Response  - 172,11,F000,545*e209 * 24-03-2025 14:14:23.518
Command Sent READ TEMPERATURE - #173,11*37eb  * 24-03-2025 14:14:34.685
CRC-Response  - 173,11,F000,545*630b * 24-03-2025 14:14:34.898
Command Sent Rack-3 Picked from J2 - #174,2,1,13934,800 ,0,0*69ab  * 24-03-2025 14:14:43.567
CRC-Response  - 174,2,I001,1*9713 * 24-03-2025 14:14:43.780
CRC-Response  - 174,2,F000,1*a842 * 24-03-2025 14:14:50.226
RA Picked Rack From J2 * 24-03-2025 14:14:50.231
Command Sent Rack-3 Placed in J4 - #175,3,1,21194,800 ,0,0*0203  * 24-03-2025 14:14:50.577
CRC-Response  - 175,3,I001,1*9e83 * 24-03-2025 14:14:50.783
CRC-Response  - 175,3,F000,1*a1d2 * 24-03-2025 14:14:56.800
RA Placed Rack in J4 * 24-03-2025 14:14:56.805
Command Sent WATER VALVE - 2 CONTROL ON - #176,13,2,1*9e49  * 24-03-2025 14:14:57.712
CRC-Response  - 176,13,F000*4484 * 24-03-2025 14:14:57.930
Command Sent Rack-1 Picked from J8 - #177,2,1,35714,800 ,0,0*3107  * 24-03-2025 14:15:15.734
CRC-Response  - 177,2,I001,1*98e3 * 24-03-2025 14:15:16.7
CRC-Response  - 177,2,F000,1*a7b2 * 24-03-2025 14:15:22.767
RA Picked Rack From J8 * 24-03-2025 14:15:22.776
Command Sent Rack-1 Placed in W2 - #178,3,1,46604,800 ,0,0*08f8  * 24-03-2025 14:15:23.240
CRC-Response  - 178,3,I001,1*6412 * 24-03-2025 14:15:23.447
CRC-Response  - 178,3,F000,1*5b43 * 24-03-2025 14:15:29.869
RA Placed Rack in W2 * 24-03-2025 14:15:29.874
Command Sent WATER VALVE - 1 CONTROL ON - #179,13,1,1*def9  * 24-03-2025 14:15:30.706
CRC-Response  - 179,13,F000*b4c5 * 24-03-2025 14:15:30.920
Command Sent Rack-2 Picked from J6 - #180,2,1,28454,800 ,0,0*c14f  * 24-03-2025 14:15:36.730
CRC-Response  - 180,2,I001,1*5662 * 24-03-2025 14:15:36.944
CRC-Response  - 180,2,F000,1*6933 * 24-03-2025 14:15:44.179
RA Picked Rack From J6 * 24-03-2025 14:15:44.183
Command Sent Rack-2 Placed in W1 - #181,3,1,42974,800 ,0,0*8bdb  * 24-03-2025 14:15:44.667
CRC-Response  - 181,3,I001,1*5ff2 * 24-03-2025 14:15:44.875
CRC-Response  - 181,3,F000,1*60a3 * 24-03-2025 14:15:51.702
RA Placed Rack in W1 * 24-03-2025 14:15:51.706
Command Sent READ TEMPERATURE - #182,11*cabe  * 24-03-2025 14:15:54.800
CRC-Response  - 182,11,F000,545*ed06 * 24-03-2025 14:15:55.9
Command Sent READ TEMPERATURE - #183,11*36bf  * 24-03-2025 14:16:05.184
CRC-Response  - 183,11,F000,545*6c04 * 24-03-2025 14:16:05.390
Command Sent READ TEMPERATURE - #184,11*42be  * 24-03-2025 14:16:16.557
CRC-Response  - 184,11,F000,545*2b0f * 24-03-2025 14:16:16.775
Command Sent WATER VALVE - 2 CONTROL OFF - #185,13,2,0*bb89  * 24-03-2025 14:16:30.401
CRC-Response  - 185,13,F000*84a0 * 24-03-2025 14:16:30.611
Command Sent Rack-1 Picked from W2 - #186,2,1,46604,800 ,0,0*243f  * 24-03-2025 14:16:30.786
CRC-Response  - 186,2,I001,1*4982 * 24-03-2025 14:16:30.998
CRC-Response  - 186,2,F000,1*76d3 * 24-03-2025 14:16:36.600
RA Picked Rack From W2 * 24-03-2025 14:16:36.605
Command Sent Rack-1 Placed in J9 - #187,3,1,39344,800 ,0,0*fd58  * 24-03-2025 14:16:37.220
CRC-Response  - 187,3,I001,1*4012 * 24-03-2025 14:16:37.432
CRC-Response  - 187,3,F000,1*7f43 * 24-03-2025 14:16:43.453
RA Placed Rack in J9 * 24-03-2025 14:16:43.456
Command Sent READ TEMPERATURE - #188,11*12bd  * 24-03-2025 14:16:48.71
CRC-Response  - 188,11,F000,545*e71e * 24-03-2025 14:16:48.290
Command Sent Rack-3 Picked from J4 - #189,2,1,21194,800 ,0,0*ccbd  * 24-03-2025 14:16:57.227
CRC-Response  - 189,2,I001,1*79b2 * 24-03-2025 14:16:57.440
CRC-Response  - 189,2,F000,1*46e3 * 24-03-2025 14:17:04.664
RA Picked Rack From J4 * 24-03-2025 14:17:04.669
Command Sent Rack-3 Placed in J5 - #190,3,1,24824,800 ,0,0*4415  * 24-03-2025 14:17:05.238
CRC-Response  - 190,3,I001,1*66a7 * 24-03-2025 14:17:05.454
CRC-Response  - 190,3,F000,1*59f6 * 24-03-2025 14:17:11.40
RA Placed Rack in J5 * 24-03-2025 14:17:11.44
Command Sent READ TEMPERATURE - #191,11*4e83  * 24-03-2025 14:17:16.231
CRC-Response  - 191,11,F000,545*ef03 * 24-03-2025 14:17:16.442
Command Sent WATER VALVE - 2 CONTROL ON - #192,13,2,1*0d04  * 24-03-2025 14:17:25.794
CRC-Response  - 192,13,F000*71d7 * 24-03-2025 14:17:26.7
Command Sent Rack-1 Picked from J9 - #193,2,1,39344,800 ,0,0*54e8  * 24-03-2025 14:17:43.835
CRC-Response  - 193,2,I001,1*a596 * 24-03-2025 14:17:44.58
CRC-Response  - 193,2,F000,1*9ac7 * 24-03-2025 14:17:50.863
RA Picked Rack From J9 * 24-03-2025 14:17:50.868
Command Sent Rack-1 Placed in W2 - #194,3,1,46604,800 ,0,0*eb07  * 24-03-2025 14:17:51.325
CRC-Response  - 194,3,I001,1*b3e6 * 24-03-2025 14:17:51.544
18 Seconds Timer increments in Jar W1 for R2 as Command Execution under process in other function and timer updated for tmr_r2_incub() * 24-03-2025 14:17:52.204
CRC-Response  - 194,3,F000,1*8cb7 * 24-03-2025 14:17:57.551
RA Placed Rack in W2 * 24-03-2025 14:17:57.561
Command Sent WATER VALVE - 1 CONTROL OFF - #195,13,1,0*2b74  * 24-03-2025 14:18:10.403
CRC-Response  - 195,13,F000*41f1 * 24-03-2025 14:18:10.615
Command Sent Rack-2 Picked from W1 - #196,2,1,42974,800 ,0,0*112f  * 24-03-2025 14:18:10.799
CRC-Response  - 196,2,I001,1*b586 * 24-03-2025 14:18:11.17
CRC-Response  - 196,2,F000,1*8ad7 * 24-03-2025 14:18:16.619
RA Picked Rack From W1 * 24-03-2025 14:18:16.623
Command Sent Rack-2 Placed in J8 - #197,3,1,35714,800 ,0,0*e3b9  * 24-03-2025 14:18:17.218
CRC-Response  - 197,3,I001,1*bc16 * 24-03-2025 14:18:17.436
CRC-Response  - 197,3,F000,1*8347 * 24-03-2025 14:18:23.450
RA Placed Rack in J8 * 24-03-2025 14:18:23.454
Command Sent READ TEMPERATURE - #198,11*d280  * 24-03-2025 14:18:27.994
CRC-Response  - 198,11,F000,545*261e * 24-03-2025 14:18:28.205
Command Sent READ TEMPERATURE - #199,11*2e81  * 24-03-2025 14:18:38.356
CRC-Response  - 199,11,F000,545*a71c * 24-03-2025 14:18:38.570
Command Sent READ TEMPERATURE - #200,11*805e  * 24-03-2025 14:18:49.775
CRC-Response  - 200,11,F000,545*664b * 24-03-2025 14:18:49.981
Command Sent WATER VALVE - 2 CONTROL OFF - #201,13,2,0*871f  * 24-03-2025 14:18:58.432
CRC-Response  - 201,13,F000*ea1c * 24-03-2025 14:18:58.643
Command Sent Rack-1 Picked from W2 - #202,2,1,46604,800 ,0,0*fd34  * 24-03-2025 14:18:58.825
CRC-Response  - 202,2,I001,1*f8ed * 24-03-2025 14:18:59.45
CRC-Response  - 202,2,F000,1*c7bc * 24-03-2025 14:19:05.454
RA Picked Rack From W2 * 24-03-2025 14:19:05.460
Command Sent Rack-1 Placed in J18 - #203,3,1,39344,8590,0,0*7ec7  * 24-03-2025 14:19:05.802
CRC-Response  - 203,3,I001,1*f17d * 24-03-2025 14:19:06.25
11 Secconds Timer increments in Jar J5 for R3 as Command Execution under process in other function and timer upadted for tmr_r3_incub() * 24-03-2025 14:19:11.884
CRC-Response  - 203,3,F000,1*ce2c * 24-03-2025 14:19:12.36
RA Placed Rack in J18 * 24-03-2025 14:19:12.40
11 Secconds Timer increments in Jar H1 for R4 as Command Execution under process in other function and timer updated for tmr_r4_incub() * 24-03-2025 14:19:12.734
Command Sent Rack-3 Picked from J5 - #204,2,1,24824,800 ,0,0*b05f  * 24-03-2025 14:19:23.61
CRC-Response  - 204,2,I001,1*e70d * 24-03-2025 14:19:23.278
11 Secconds Timer increments in Jar H1 for R4 as Command Execution under process in other function and timer updated for tmr_r4_incub() * 24-03-2025 14:19:23.789
CRC-Response  - 204,2,F000,1*d85c * 24-03-2025 14:19:30.89
RA Picked Rack From J5 * 24-03-2025 14:19:30.92
Command Sent Rack-3 Placed in J6 - #205,3,1,28454,800 ,0,0*3528  * 24-03-2025 14:19:30.533
CRC-Response  - 205,3,I001,1*ee9d * 24-03-2025 14:19:30.738
11 Secconds Timer increments in Jar H1 for R4 as Command Execution under process in other function and timer updated for tmr_r4_incub() * 24-03-2025 14:19:34.831
CRC-Response  - 205,3,F000,1*d1cc * 24-03-2025 14:19:36.345
RA Placed Rack in J6 * 24-03-2025 14:19:36.355
Command Sent HEATER DOOR OPEN - #206,8,1,1*a430  * 24-03-2025 14:19:45.27
CRC-Response  - 206,8,I001*36bd * 24-03-2025 14:19:45.240
CRC-Response  - 206,8,F000*e27f * 24-03-2025 14:19:45.582
Command Sent Rack-4 Picked from H1 - #207,2,1,2688,1000,0,1*b7fb  * 24-03-2025 14:19:45.935
CRC-Response  - 207,2,I001,1*e8fd * 24-03-2025 14:19:46.157
CRC-Response  - 207,2,F000,1*d7ac * 24-03-2025 14:19:54.221
RA Picked Rack From H1 * 24-03-2025 14:19:54.226
Command Sent HEATER DOOR CLOSE - #208,8,1,0*a41e  * 24-03-2025 14:19:54.946
CRC-Response  - 208,8,I001*ba3c * 24-03-2025 14:19:55.169
CRC-Response  - 208,8,F000*6efe * 24-03-2025 14:19:55.507
Command Sent Rack-4 Placed in J1 - #209,3,1,10304,800,0,0*5e4b  * 24-03-2025 14:19:55.853
CRC-Response  - 209,3,I001,1*d15d * 24-03-2025 14:19:56.62
CRC-Response  - 209,3,F000,1*ee0c * 24-03-2025 14:20:02.125
RA Placed Rack in J1 * 24-03-2025 14:20:02.130
Command Sent WATER VALVE - 6 CONTROL ON - #210,13,6,1*da53  * 24-03-2025 14:20:04.505
CRC-Response  - 210,13,F000*bf40 * 24-03-2025 14:20:04.720
Command Sent Rack-1 Picked from J18 - #211,2,1,39344,8590,0,0*b1ff  * 24-03-2025 14:20:12.564
CRC-Response  - 211,2,I001,1*0b19 * 24-03-2025 14:20:12.776
CRC-Response  - 211,2,F000,1*3448 * 24-03-2025 14:20:21.232
RA Picked Rack From J18 * 24-03-2025 14:20:21.236
Command Sent Rack-1 Placed in W6 - #212,3,1,42974,8590,0,0*6ee1  * 24-03-2025 14:20:21.541
CRC-Response  - 212,3,I001,1*c828 * 24-03-2025 14:20:21.755
CRC-Response  - 212,3,F000,1*f779 * 24-03-2025 14:20:27.354
RA Placed Rack in W6 * 24-03-2025 14:20:27.359
Command Sent READ TEMPERATURE - #213,11*0463  * 24-03-2025 14:20:31.646
CRC-Response  - 213,11,F000,545*644e * 24-03-2025 14:20:31.856
Command Sent READ TEMPERATURE - #214,11*7062  * 24-03-2025 14:20:42.29
CRC-Response  - 214,11,F000,545*2345 * 24-03-2025 14:20:42.242
Command Sent READ TEMPERATURE - #215,11*8c63  * 24-03-2025 14:20:52.431
CRC-Response  - 215,11,F000,545*a247 * 24-03-2025 14:20:52.646
Command Sent READ TEMPERATURE - #216,11*c863  * 24-03-2025 14:21:02.837
CRC-Response  - 216,11,F000,545*6142 * 24-03-2025 14:21:03.44
Command Sent WATER VALVE - 2 CONTROL ON - #217,13,2,1*fd53  * 24-03-2025 14:21:06.192
CRC-Response  - 217,13,F000*8f66 * 24-03-2025 14:21:06.400
Command Sent WATER VALVE - 1 CONTROL ON - #218,13,1,1*bde3  * 24-03-2025 14:21:19.261
CRC-Response  - 218,13,F000*7f27 * 24-03-2025 14:21:19.474
Command Sent Rack-2 Picked from J8 - #219,2,1,35714,800 ,0,0*6d7b  * 24-03-2025 14:21:24.265
CRC-Response  - 219,2,I001,1*e198 * 24-03-2025 14:21:24.485
18 Seconds Timer increments in Jar W6 for R1 as Command Execution under process in other function and timer updated for tmr_r1_incub() * 24-03-2025 14:21:28.93
CRC-Response  - 219,2,F000,1*dec9 * 24-03-2025 14:21:30.497
RA Picked Rack From J8 * 24-03-2025 14:21:30.501
Command Sent Rack-2 Placed in W2 - #220,3,1,46604,800 ,0,0*013f  * 24-03-2025 14:21:31.201
CRC-Response  - 220,3,I001,1*4686 * 24-03-2025 14:21:31.421
11 Secconds Timer increments in Jar J6 for R3 as Command Execution under process in other function and timer upadted for tmr_r3_incub() * 24-03-2025 14:21:37.141
CRC-Response  - 220,3,F000,1*79d7 * 24-03-2025 14:21:37.824
RA Placed Rack in W2 * 24-03-2025 14:21:37.826
18 Seconds Timer increments in Jar W6 for R1 as Command Execution under process in other function and timer updated for tmr_r1_incub() * 24-03-2025 14:21:46.206
Command Sent Rack-3 Picked from J6 - #221,2,1,28454,800 ,0,0*afab  * 24-03-2025 14:21:48.374
CRC-Response  - 221,2,I001,1*4f16 * 24-03-2025 14:21:48.584
CRC-Response  - 221,2,F000,1*7047 * 24-03-2025 14:21:55.816
RA Picked Rack From J6 * 24-03-2025 14:21:55.823
Command Sent Rack-3 Placed in W1 - #222,3,1,42974,800 ,0,0*0746  * 24-03-2025 14:21:56.344
CRC-Response  - 222,3,I001,1*8c27 * 24-03-2025 14:21:56.560
11 Secconds Timer increments in Jar J1 for R4 as Command Execution under process in other function and timer updated for tmr_r4_incub() * 24-03-2025 14:22:02.866
CRC-Response  - 222,3,F000,1*b376 * 24-03-2025 14:22:03.383
RA Placed Rack in W1 * 24-03-2025 14:22:03.387
11 Seconds Timer increments in Jar W6 for R1 as Command Execution under process in other function and timer updated for tmr_r1_incub() * 24-03-2025 14:22:04.220
Command Sent Rack-4 Picked from J1 - #223,2,1,10304,800,0,0*f5f8  * 24-03-2025 14:22:14.66
CRC-Response  - 223,2,I001,1*85b7 * 24-03-2025 14:22:14.278
11 Seconds Timer increments in Jar W6 for R1 as Command Execution under process in other function and timer updated for tmr_r1_incub() * 24-03-2025 14:22:15.211
CRC-Response  - 223,2,F000,1*bae6 * 24-03-2025 14:22:23.118
RA Picked Rack From J1 * 24-03-2025 14:22:23.121
Command Sent Rack-4 Placed in J2 - #224,3,1,13934,800 ,0,0*d5dc  * 24-03-2025 14:22:23.538
CRC-Response  - 224,3,I001,1*93c7 * 24-03-2025 14:22:23.749
11 Seconds Timer increments in Jar W6 for R1 as Command Execution under process in other function and timer updated for tmr_r1_incub() * 24-03-2025 14:22:26.226
CRC-Response  - 224,3,F000,1*ac96 * 24-03-2025 14:22:29.354
RA Placed Rack in J2 * 24-03-2025 14:22:29.358
Command Sent WATER VALVE - 6 CONTROL OFF - #225,13,6,0*d546  * 24-03-2025 14:22:37.441
CRC-Response  - 225,13,F000*e08f * 24-03-2025 14:22:37.653
Command Sent Rack-1 Picked from W6 - #226,2,1,42974,8590,0,0*2572  * 24-03-2025 14:22:37.833
CRC-Response  - 226,2,I001,1*95a7 * 24-03-2025 14:22:38.42
18 Seconds Timer increments in Jar W2 for R2 as Command Execution under process in other function and timer updated for tmr_r2_incub() * 24-03-2025 14:22:38.137
CRC-Response  - 226,2,F000,1*aaf6 * 24-03-2025 14:22:46.494
RA Picked Rack From W6 * 24-03-2025 14:22:46.499
Command Sent Rack-1 Placed in J19 - #227,3,1,35714,8590,0,0*d7e4  * 24-03-2025 14:22:46.786
CRC-Response  - 227,3,I001,1*9c37 * 24-03-2025 14:22:47.5
CRC-Response  - 227,3,F000,1*a366 * 24-03-2025 14:22:53.7
RA Placed Rack in J19 * 24-03-2025 14:22:53.13
Command Sent WATER VALVE - 2 CONTROL OFF - #228,13,2,0*8dc6  * 24-03-2025 14:22:56.333
CRC-Response  - 228,13,F000*70d7 * 24-03-2025 14:22:56.548
Command Sent Rack-2 Picked from W2 - #229,2,1,46604,800 ,0,0*65b2  * 24-03-2025 14:22:56.721
CRC-Response  - 229,2,I001,1*a597 * 24-03-2025 14:22:56.933
CRC-Response  - 229,2,F000,1*9ac6 * 24-03-2025 14:23:03.351
RA Picked Rack From W2 * 24-03-2025 14:23:03.357
Command Sent Rack-2 Placed in J9 - #230,3,1,39344,800 ,0,0*2424  * 24-03-2025 14:23:03.648
CRC-Response  - 230,3,I001,1*ba82 * 24-03-2025 14:23:03.861
CRC-Response  - 230,3,F000,1*85d3 * 24-03-2025 14:23:09.863
RA Placed Rack in J9 * 24-03-2025 14:23:09.867
Command Sent READ TEMPERATURE - #231,11*7c1b  * 24-03-2025 14:23:14.458
CRC-Response  - 231,11,F000,545*e44a * 24-03-2025 14:23:14.673
Command Sent READ TEMPERATURE - #232,11*381b  * 24-03-2025 14:23:24.826
CRC-Response  - 232,11,F000,545*274f * 24-03-2025 14:23:25.41
Command Sent READ TEMPERATURE - #233,11*c41a  * 24-03-2025 14:23:35.234
CRC-Response  - 233,11,F000,545*a64d * 24-03-2025 14:23:35.453
Command Sent READ TEMPERATURE - #234,11*b01b  * 24-03-2025 14:23:46.621
CRC-Response  - 234,11,F000,545*e146 * 24-03-2025 14:23:46.837
Command Sent WATER VALVE - 2 CONTROL ON - #235,13,2,1*44cb  * 24-03-2025 14:23:52.286
CRC-Response  - 235,13,F000*25de * 24-03-2025 14:23:52.494
Command Sent Rack-1 Picked from J19 - #236,2,1,35714,8590,0,0*2b98  * 24-03-2025 14:23:53.279
CRC-Response  - 236,2,I001,1*69a3 * 24-03-2025 14:23:53.487
CRC-Response  - 236,2,F000,1*56f2 * 24-03-2025 14:23:59.282
RA Picked Rack From J19 * 24-03-2025 14:23:59.286
Command Sent Rack-1 Placed in J20 - #237,3,1,32084,8590,0,0*1624  * 24-03-2025 14:23:59.734
CRC-Response  - 237,3,I001,1*6033 * 24-03-2025 14:23:59.947
18 Secconds Timer increments in Jar W1 for R3 as Command Execution under process in other function and timer upadted for tmr_r3_incub() * 24-03-2025 14:24:04.12
CRC-Response  - 237,3,F000,1*5f62 * 24-03-2025 14:24:05.545
RA Placed Rack in J20 * 24-03-2025 14:24:05.550
Command Sent Rack-2 Picked from J9 - #238,2,1,39344,800 ,0,0*9194  * 24-03-2025 14:24:10.307
CRC-Response  - 238,2,I001,1*9cc2 * 24-03-2025 14:24:10.521
CRC-Response  - 238,2,F000,1*a393 * 24-03-2025 14:24:16.534
RA Picked Rack From J9 * 24-03-2025 14:24:16.543
Command Sent Rack-2 Placed in W2 - #239,3,1,46604,800 ,0,0*48f3  * 24-03-2025 14:24:16.769
CRC-Response  - 239,3,I001,1*9552 * 24-03-2025 14:24:16.982
18 Secconds Timer increments in Jar W1 for R3 as Command Execution under process in other function and timer upadted for tmr_r3_incub() * 24-03-2025 14:24:22.88
CRC-Response  - 239,3,F000,1*aa03 * 24-03-2025 14:24:22.995
RA Placed Rack in W2 * 24-03-2025 14:24:23.0
